"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	46100
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	15000
"3"	10420	"AKRON, OH"	52418	60700
"4"	10500	"ALBANY, GA"	39558	47000
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	64600
"6"	10740	"ALBUQUERQUE, NM"	45738	53500
"7"	10780	"ALEXANDRIA, LA"	36276	43750
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	63000
"9"	11020	"ALTOONA, PA"	40157	46750
"10"	11100	"AMARILLO, TX"	43719	50500
"11"	11180	"AMES, IA"	54843	66650
"12"	11260	"ANCHORAGE, AK"	62173	76100
"13"	11300	"ANDERSON, IN"	46539	53150
"14"	11340	"ANDERSON, SC"	44322	52000
"15"	11460	"ANN ARBOR, MI"	69771	81150
"16"	11500	"ANNISTON-OXFORD, AL"	39895	46700
"17"	11540	"APPLETON, WI"	57592	66100
"18"	11700	"ASHEVILLE, NC"	43692	49600
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	53700
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	69300
"21"	12100	"ATLANTIC CITY, NJ"	51769	61300
"22"	12220	"AUBURN-OPELIKA, AL"	46810	54400
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	52700
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	68600
"25"	12540	"BAKERSFIELD, CA"	39425	46500
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	72150
"27"	12620	"BANGOR, ME"	42416	48950
"28"	12700	"BARNSTABLE TOWN, MA"	54612	65700
"29"	12940	"BATON ROUGE, LA"	45622	54450
"30"	12980	"BATTLE CREEK, MI"	47068	54500
"31"	13020	"BAY CITY, MI"	47967	55000
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	49600
"33"	13380	"BELLINGHAM, WA"	49342	56300
"34"	13460	"BEND, OR"	48200	58000
"35"	13644	"BETHESDA-GAITHERSBURG-FREDERICK, MD"	79252	97450
"36"	13740	"BILLINGS, MT"	44809	53250
"37"	13780	"BINGHAMTON, NY"	45725	53100
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	54350
"39"	13900	"BISMARCK, ND"	49944	61950
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	54000
"41"	14020	"BLOOMINGTON, IN"	46989	54100
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	69650
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	56400
"44"	14484	"BOSTON-QUINCY, MA"	62948	76400
"45"	14500	"BOULDER, CO"	69675	82000
"46"	14540	"BOWLING GREEN, KY"	43019	50300
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	62000
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	91200
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	32300
"50"	15260	"BRUNSWICK, GA"	42382	50300
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	56950
"52"	15500	"BURLINGTON, NC"	46620	52900
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	66900
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	89350
"55"	15804	"CAMDEN, NJ"	62032	73400
"56"	15940	"CANTON-MASSILLON, OH"	47165	54500
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	53700
"58"	16180	"CARSON CITY, NV"	49627	58100
"59"	16220	"CASPER, WY"	45455	55100
"60"	16300	"CEDAR RAPIDS, IA"	54241	64900
"61"	16580	"CHAMPAIGN-URBANA, IL"	51878	59550
