"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	46100
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	14800
"3"	10420	"AKRON, OH"	52418	58100
"4"	10500	"ALBANY, GA"	39558	45900
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	63000
"6"	10740	"ALBUQUERQUE, NM"	45738	53500
"7"	10780	"ALEXANDRIA, LA"	36276	42600
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	62800
"9"	11020	"ALTOONA, PA"	40157	46700
"10"	11100	"AMARILLO, TX"	43719	50500
"11"	11180	"AMES, IA"	54843	63500
"12"	11260	"ANCHORAGE, AK"	62173	76100
"13"	11300	"ANDERSON, IN"	46539	53000
"14"	11340	"ANDERSON, SC"	44322	51600
"15"	11460	"ANN ARBOR, MI"	69771	78600
"16"	11500	"ANNISTON-OXFORD, AL"	39895	45400
"17"	11540	"APPLETON, WI"	57592	64300
"18"	11700	"ASHEVILLE, NC"	43692	49600
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	52400
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	67900
"21"	12100	"ATLANTIC CITY, NJ"	51769	61300
"22"	12220	"AUBURN-OPELIKA, AL"	46810	53300
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	51700
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	68600
"25"	12540	"BAKERSFIELD, CA"	39425	46000
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	68600
"27"	12620	"BANGOR, ME"	42416	47800
"28"	12700	"BARNSTABLE TOWN, MA"	54612	65300
"29"	12940	"BATON ROUGE, LA"	45622	53600
"30"	12980	"BATTLE CREEK, MI"	47068	53000
"31"	13020	"BAY CITY, MI"	47967	54000
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	49600
"33"	13380	"BELLINGHAM, WA"	49342	56000
"34"	13460	"BEND, OR"	48200	58000
"35"	13644	"BETHESDA-FREDERICK-GAITHERSBURG, MD"	79252	91600
"36"	13740	"BILLINGS, MT"	44809	52500
"37"	13780	"BINGHAMTON, NY"	45725	52400
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	52800
"39"	13900	"BISMARCK, ND"	49944	60100
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	51800
"41"	14020	"BLOOMINGTON, IN"	46989	53600
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	68900
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	54000
"44"	14484	"BOSTON-QUINCY, MA"	62948	75300
"45"	14500	"BOULDER, CO"	69675	78600
"46"	14540	"BOWLING GREEN, KY"	43019	50300
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	60900
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	89500
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	32300
"50"	15260	"BRUNSWICK, GA"	42382	49100
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	56300
"52"	15500	"BURLINGTON, NC"	46620	52900
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	66600
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	88600
"55"	15804	"CAMDEN, NJ"	62032	73400
"56"	15940	"CANTON-MASSILLON, OH"	47165	52200
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	52700
"58"	16180	"CARSON CITY, NV"	49627	55700
"59"	16220	"CASPER, WY"	45455	54300
"60"	16300	"CEDAR RAPIDS, IA"	54241	62800
"61"	16580	"CHAMPAIGN-URBANA, IL"	51878	58400
"62"	16620	"CHARLESTON, WV"	40961	49700
"63"	16700	"CHARLESTON-NORTH CHARLESTON, SC"	46784	54500
"64"	16740	"CHARLOTTE-GASTONIA-CONCORD, NC-SC"	54850	62500
"65"	16820	"CHARLOTTESVILLE, VA"	54165	62300
"66"	16860	"CHATTANOOGA, TN-GA"	44787	51100
"67"	16940	"CHEYENNE, WY"	46452	55400
"68"	16974	"CHICAGO-NAPERVILLE-JOLIET, IL"	60166	67800
"69"	17020	"CHICO, CA"	40967	47800
"70"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	54771	61400
"71"	17300	"CLARKSVILLE, TN-KY"	40311	46200
"72"	17420	"CLEVELAND, TN"	40983	46500
"73"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	52660	58300
"74"	17660	"COEUR D'ALENE, ID"	43017	48100
"75"	17780	"COLLEGE STATION-BRYAN, TX"	43916	50700
"76"	17820	"COLORADO SPRINGS, CO"	54037	61000
"77"	17860	"COLUMBIA, MO"	50099	60900
"78"	17900	"COLUMBIA, SC"	49202	57300
"79"	17980	"COLUMBUS, GA-AL"	40916	47300
"80"	18020	"COLUMBUS, IN"	52072	59300
"81"	18140	"COLUMBUS, OH"	54708	60600
"82"	18580	"CORPUS CHRISTI, TX"	40551	46800
