"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	52886	52500
"2"	10380	"AGUADILLA-ISABELA, PR"	16032	17500
"3"	10420	"AKRON, OH"	62882	62100
"4"	10500	"ALBANY, GA"	46021	41500
"5"	10540	"ALBANY, OR"	55320	51600
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	74739	78300
"7"	10740	"ALBUQUERQUE, NM"	59381	57800
"8"	10780	"ALEXANDRIA, LA"	50565	46100
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	68935	68800
"10"	11020	"ALTOONA, PA"	53166	55200
"11"	11100	"AMARILLO, TX"	57439	61700
"12"	11180	"AMES, IA"	74278	75100
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	83735	84900
"14"	11260	"ANCHORAGE, AK"	82861	84900
"15"	11460	"ANN ARBOR, MI"	82184	87400
"16"	11500	"ANNISTON-OXFORD-JACKSONVILLE, AL"	49532	51600
"17"	11540	"APPLETON, WI"	69972	71200
"18"	11640	"ARECIBO, PR"	18266	20000
"19"	11700	"ASHEVILLE, NC"	55018	56000
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57573	55500
"21"	12060	"ATLANTA-SANDY SPRINGS-ROSWELL, GA"	67374	70100
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66920	68100
"23"	12220	"AUBURN-OPELIKA, AL"	59112	59700
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	54820	57600
"25"	12420	"AUSTIN-ROUND ROCK, TX"	71602	75400
"26"	12540	"BAKERSFIELD, CA"	51311	51700
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	81788	83500
"28"	12620	"BANGOR, ME"	54271	54800
"29"	12700	"BARNSTABLE TOWN, MA"	75056	74900
"30"	12940	"BATON ROUGE, LA"	60727	66400
"31"	12980	"BATTLE CREEK, MI"	52533	52600
"32"	13020	"BAY CITY, MI"	53824	58000
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	54600	57500
"34"	13220	"BECKLEY, WV"	47012	49900
"35"	13380	"BELLINGHAM, WA"	64586	66700
"36"	13460	"BEND-REDMOND, OR"	61605	62400
"37"	13740	"BILLINGS, MT"	61572	64500
"38"	13780	"BINGHAMTON, NY"	58258	62900
"39"	13820	"BIRMINGHAM-HOOVER, AL"	59532	61000
"40"	13900	"BISMARCK, ND"	67178	73200
"41"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	56273	60100
"42"	14010	"BLOOMINGTON, IL"	74930	80900
"43"	14020	"BLOOMINGTON, IN"	58386	61500
"44"	14100	"BLOOMSBURG-BERWICK, PA"	53664	57500
"45"	14260	"BOISE CITY, ID"	59649	55600
"46"	14454	"BOSTON, MA"	83664	87200
"47"	14500	"BOULDER, CO"	87860	96800
"48"	14540	"BOWLING GREEN, KY"	51720	54200
"49"	14740	"BREMERTON-SILVERDALE, WA"	71065	74000
"50"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	100593	106400
