"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	45100
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	15400
"3"	10420	"AKRON, OH"	52418	60300
"4"	10500	"ALBANY, GA"	39558	47400
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	66300
"6"	10740	"ALBUQUERQUE, NM"	45738	55900
"7"	10780	"ALEXANDRIA, LA"	36276	44600
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	65800
"9"	11020	"ALTOONA, PA"	40157	48500
"10"	11100	"AMARILLO, TX"	43719	49400
"11"	11180	"AMES, IA"	54843	66500
"12"	11260	"ANCHORAGE, AK"	62173	74800
"13"	11300	"ANDERSON, IN"	46539	54500
"14"	11340	"ANDERSON, SC"	44322	48900
"15"	11460	"ANN ARBOR, MI"	69771	78300
"16"	11500	"ANNISTON-OXFORD, AL"	39895	47100
"17"	11540	"APPLETON, WI"	57592	67900
"18"	11700	"ASHEVILLE, NC"	43692	50800
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	50800
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	67100
"21"	12100	"ATLANTIC CITY, NJ"	51769	64300
"22"	12220	"AUBURN-OPELIKA, AL"	46810	54400
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	52600
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	69300
"25"	12540	"BAKERSFIELD, CA"	39425	47800
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	75800
"27"	12620	"BANGOR, ME"	42416	53400
"28"	12700	"BARNSTABLE TOWN, MA"	54612	70400
"29"	12940	"BATON ROUGE, LA"	45622	56200
"30"	12980	"BATTLE CREEK, MI"	47068	52800
"31"	13020	"BAY CITY, MI"	47967	54400
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	50200
"33"	13380	"BELLINGHAM, WA"	49342	58200
"34"	13460	"BEND, OR"	48200	58700
"35"	13644	"BETHESDA-GAITHERSBURG-FREDERICK, MD"	79252	101100
"36"	13740	"BILLINGS, MT"	44809	54900
"37"	13780	"BINGHAMTON, NY"	45725	52800
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	55500
"39"	13900	"BISMARCK, ND"	49944	61700
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	55300
"41"	14020	"BLOOMINGTON, IN"	46989	53100
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	70300
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	58500
"44"	14484	"BOSTON-QUINCY, MA"	62948	76900
"45"	14500	"BOULDER, CO"	69675	82500
"46"	14540	"BOWLING GREEN, KY"	43019	52100
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	65700
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	93400
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	30000
"50"	15260	"BRUNSWICK, GA"	42382	50700
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	59300
"52"	15500	"BURLINGTON, NC"	46620	50800
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	70600
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	88900
"55"	15804	"CAMDEN, NJ"	62032	76900
"56"	15940	"CANTON-MASSILLON, OH"	47165	53000
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	54700
"58"	16180	"CARSON CITY, NV"	49627	58800
"59"	16220	"CASPER, WY"	45455	60100
"60"	16300	"CEDAR RAPIDS, IA"	54241	63800
"61"	16580	"CHAMPAIGN-URBANA, IL"	51878	60600
"62"	16620	"CHARLESTON, WV"	40961	50500
"63"	16700	"CHARLESTON-NORTH CHARLESTON, SC"	46784	55400
"64"	16740	"CHARLOTTE-GASTONIA-CONCORD, NC-SC"	54850	60200
"65"	16820	"CHARLOTTESVILLE, VA"	54165	66800
"66"	16860	"CHATTANOOGA, TN-GA"	44787	53400
"67"	16940	"CHEYENNE, WY"	46452	58100
"68"	16974	"CHICAGO-NAPERVILLE-JOLIET, IL"	60166	69700
"69"	17020	"CHICO, CA"	40967	52000
"70"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	54771	63600
"71"	17300	"CLARKSVILLE, TN-KY"	40311	49200
"72"	17420	"CLEVELAND, TN"	40983	49500
"73"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	52660	60700
"74"	17660	"COEUR D'ALENE, ID"	43017	49700
"75"	17780	"COLLEGE STATION-BRYAN, TX"	43916	51000
"76"	17820	"COLORADO SPRINGS, CO"	54037	65500
"77"	17860	"COLUMBIA, MO"	50099	57300
"78"	17900	"COLUMBIA, SC"	49202	58200
"79"	17980	"COLUMBUS, GA-AL"	40916	45800
"80"	18020	"COLUMBUS, IN"	52072	58900
"81"	18140	"COLUMBUS, OH"	54708	64200
"82"	18580	"CORPUS CHRISTI, TX"	40551	45800
"83"	18700	"CORVALLIS, OR"	56736	67400
"84"	19060	"CUMBERLAND, MD-WV"	39167	46600
"85"	19124	"DALLAS-PLANO-IRVING, TX"	56313	63200
"86"	19140	"DALTON, GA"	43713	48900
"87"	19180	"DANVILLE, IL"	41578	47000
"88"	19260	"DANVILLE, VA"	39088	46500
"89"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	49922	57200
"90"	19380	"DAYTON, OH"	51271	58700
"91"	19460	"DECATUR, AL"	43961	53600
"92"	19500	"DECATUR, IL"	47475	55000
"93"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	41785	49900
"94"	19740	"DENVER-AURORA, CO"	61301	71400
"95"	19780	"DES MOINES-WEST DES MOINES, IA"	55620	67700
"96"	19804	"DETROIT-LIVONIA-DEARBORN, MI"	48792	53800
"97"	20020	"DOTHAN, AL"	39732	48600
"98"	20100	"DOVER, DE"	46506	58700
"99"	20220	"DUBUQUE, IA"	48753	59500
"100"	20260	"DULUTH, MN-WI"	46619	55500
"101"	20500	"DURHAM, NC"	53076	60100
"102"	20740	"EAU CLAIRE, WI"	48942	55600
"103"	20764	"EDISON, NJ"	69978	85600
"104"	20940	"EL CENTRO, CA"	35221	42000
"105"	21060	"ELIZABETHTOWN, KY"	42911	50600
"106"	21140	"ELKHART-GOSHEN, IN"	50399	56500
"107"	21300	"ELMIRA, NY"	43879	51700
"108"	21340	"EL PASO, TX"	33472	36500
"109"	21500	"ERIE, PA"	44825	53900
"110"	21660	"EUGENE-SPRINGFIELD, OR"	45100	52200
"111"	21780	"EVANSVILLE, IN-KY"	48255	56900
"112"	21820	"FAIRBANKS, AK"	56433	69700
"113"	21940	"FAJARDO, PR"	17208	22500
"114"	22020	"FARGO, ND-MN"	50758	63300
"115"	22140	"FARMINGTON, NM"	37279	44700
"116"	22180	"FAYETTEVILLE, NC"	41000	47500
"117"	22220	"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO"	42578	53100
"118"	22380	"FLAGSTAFF, AZ"	45822	53500
"119"	22420	"FLINT, MI"	50097	57200
"120"	22500	"FLORENCE, SC"	40070	46300
"121"	22520	"FLORENCE-MUSCLE SHOALS, AL"	40608	47000
"122"	22540	"FOND DU LAC, WI"	53017	61800
"123"	22660	"FORT COLLINS-LOVELAND, CO"	58840	68200
"124"	22744	"FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL"	50570	58400
"125"	22900	"FORT SMITH, AR-OK"	37051	42000
"126"	23020	"FORT WALTON BEACH-CRESTVIEW-DESTIN, FL"	47518	62600
"127"	23060	"FORT WAYNE, IN"	52560	60600
"128"	23104	"FORT WORTH-ARLINGTON, TX"	53268	60500
"129"	23420	"FRESNO, CA"	38493	48900
"130"	23460	"GADSDEN, AL"	38643	43300
"131"	23540	"GAINESVILLE, FL"	45486	54200
"132"	23580	"GAINESVILLE, GA"	50101	56500
"133"	23844	"GARY, IN"	52518	60000
"134"	24020	"GLENS FALLS, NY"	45141	55700
"135"	24140	"GOLDSBORO, NC"	40490	46300
"136"	24220	"GRAND FORKS, ND-MN"	45777	57500
"137"	24300	"GRAND JUNCTION, CO"	43015	49800
"138"	24340	"GRAND RAPIDS-WYOMING, MI"	52945	59100
"139"	24500	"GREAT FALLS, MT"	39947	50200
"140"	24540	"GREELEY, CO"	49562	59800
"141"	24580	"GREEN BAY, WI"	53950	62400
"142"	24660	"GREENSBORO-HIGH POINT, NC"	48807	53600
"143"	24780	"GREENVILLE, NC"	42777	48500
"144"	24860	"GREENVILLE-MAULDIN-EASLEY, SC"	47387	52900
"145"	25020	"GUAYAMA, PR"	13836	18900
"146"	25060	"GULFPORT-BILOXI, MS"	41026	48200
"147"	25180	"HAGERSTOWN-MARTINSBURG, MD-WV"	46565	57900
"148"	25260	"HANFORD-CORCORAN, CA"	38025	46800
"149"	25420	"HARRISBURG-CARLISLE, PA"	52829	65600
"150"	25500	"HARRISONBURG, VA"	46106	56700
"151"	25540	"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT"	64156	80300
"152"	25620	"HATTIESBURG, MS"	38187	42700
"153"	25860	"HICKORY-LENOIR-MORGANTON, NC"	44452	48400
"154"	25980	"HINESVILLE-FORT STEWART, GA"	34678	40600
"155"	26100	"HOLLAND-GRAND HAVEN, MI"	59880	69000
"156"	26180	"HONOLULU, HI"	60110	73500
"157"	26300	"HOT SPRINGS, AR"	38002	44700
"158"	26380	"HOUMA-BAYOU CANE-THIBODAUX, LA"	40224	48800
"159"	26420	"HOUSTON-SUGAR LAND-BAYTOWN, TX"	51431	57300
"160"	26580	"HUNTINGTON-ASHLAND, WV-KY-OH"	37119	44500
"161"	26620	"HUNTSVILLE, AL"	52360	63800
"162"	26820	"IDAHO FALLS, ID"	46692	55300
"163"	26900	"INDIANAPOLIS-CARMEL, IN"	55425	63800
"164"	26980	"IOWA CITY, IA"	56018	63600
"165"	27060	"ITHACA, NY"	52980	65400
"166"	27100	"JACKSON, MI"	50961	59700
"167"	27140	"JACKSON, MS"	44383	53400
"168"	27180	"JACKSON, TN"	43954	49000
"169"	27260	"JACKSONVILLE, FL"	50048	59700
"170"	27340	"JACKSONVILLE, NC"	36629	45900
"171"	27500	"JANESVILLE, WI"	53241	60300
"172"	27620	"JEFFERSON CITY, MO"	48840	59200
"173"	27740	"JOHNSON CITY, TN"	37970	49800
"174"	27780	"JOHNSTOWN, PA"	37765	45500
"175"	27860	"JONESBORO, AR"	38696	44200
