"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	50900
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	15400
"3"	10420	"AKRON, OH"	52418	61700
"4"	10500	"ALBANY, GA"	39558	46700
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	70600
"6"	10740	"ALBUQUERQUE, NM"	45738	58000
"7"	10780	"ALEXANDRIA, LA"	36276	45900
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	65800
"9"	11020	"ALTOONA, PA"	40157	50700
"10"	11100	"AMARILLO, TX"	43719	53900
"11"	11180	"AMES, IA"	54843	69700
"12"	11260	"ANCHORAGE, AK"	62173	77700
"13"	11300	"ANDERSON, IN"	46539	54100
"14"	11340	"ANDERSON, SC"	44322	52400
"15"	11460	"ANN ARBOR, MI"	69771	80200
"16"	11500	"ANNISTON-OXFORD, AL"	39895	48800
"17"	11540	"APPLETON, WI"	57592	68600
"18"	11700	"ASHEVILLE, NC"	43692	52500
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	54100
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	69200
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	51769	65200
"22"	12220	"AUBURN-OPELIKA, AL"	46810	61700
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	54300
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	69100
"25"	12540	"BAKERSFIELD, CA"	39425	50000
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	78200
"27"	12620	"BANGOR, ME"	42416	51300
"28"	12700	"BARNSTABLE TOWN, MA"	54612	73500
"29"	12940	"BATON ROUGE, LA"	45622	56600
"30"	12980	"BATTLE CREEK, MI"	47068	54600
"31"	13020	"BAY CITY, MI"	47967	53700
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	51400
"33"	13380	"BELLINGHAM, WA"	49342	63000
"34"	13460	"BEND, OR"	48200	58200
"35"	13644	"BETHESDA-FREDERICK-GAITHERSBURG, MD"	79252	104400
"36"	13740	"BILLINGS, MT"	44809	61900
"37"	13780	"BINGHAMTON, NY"	45725	58100
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	59100
"39"	13900	"BISMARCK, ND"	49944	64400
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	54800
"41"	14020	"BLOOMINGTON, IN"	46989	55600
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	70900
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	60900
"44"	14484	"BOSTON-QUINCY, MA"	62948	79500
"45"	14500	"BOULDER, CO"	69675	85000
"46"	14540	"BOWLING GREEN, KY"	43019	53900
"47"	14600	"BRADENTON-SARASOTA-VENICE, FL"	48550	59600
"48"	14740	"BREMERTON-SILVERDALE, WA"	53655	69900
"49"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	97500
"50"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	31000
"51"	15260	"BRUNSWICK, GA"	42382	55700
"52"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	60900
"53"	15500	"BURLINGTON, NC"	46620	51400
"54"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	70100
"55"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	93000
"56"	15804	"CAMDEN, NJ"	62032	78300
"57"	15940	"CANTON-MASSILLON, OH"	47165	54600
"58"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	59900
"59"	16180	"CARSON CITY, NV"	49627	63100
"60"	16220	"CASPER, WY"	45455	60700
"61"	16300	"CEDAR RAPIDS, IA"	54241	62900
"62"	16580	"CHAMPAIGN-URBANA, IL"	51878	61600
"63"	16620	"CHARLESTON, WV"	40961	48500
"64"	16700	"CHARLESTON-NORTH CHARLESTON-SUMMERVILLE, SC"	46784	58400
"65"	16740	"CHARLOTTE-GASTONIA-CONCORD, NC-SC"	54850	64300
"66"	16820	"CHARLOTTESVILLE, VA"	54165	68500
"67"	16860	"CHATTANOOGA, TN-GA"	44787	53100
"68"	16940	"CHEYENNE, WY"	46452	62600
"69"	16974	"CHICAGO-NAPERVILLE-JOLIET, IL"	60166	71100
"70"	17020	"CHICO, CA"	40967	54500
"71"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	54771	66200
"72"	17300	"CLARKSVILLE, TN-KY"	40311	51300
"73"	17420	"CLEVELAND, TN"	40983	47000
"74"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	52660	62100
"75"	17660	"COEUR D'ALENE, ID"	43017	52600
"76"	17780	"COLLEGE STATION-BRYAN, TX"	43916	55800
"77"	17820	"COLORADO SPRINGS, CO"	54037	68000
"78"	17860	"COLUMBIA, MO"	50099	60700
"79"	17900	"COLUMBIA, SC"	49202	59200
"80"	17980	"COLUMBUS, GA-AL"	40916	49900
"81"	18020	"COLUMBUS, IN"	52072	63500
"82"	18140	"COLUMBUS, OH"	54708	65300
"83"	18580	"CORPUS CHRISTI, TX"	40551	47800
"84"	18700	"CORVALLIS, OR"	56736	68000
"85"	19060	"CUMBERLAND, MD-WV"	39167	50100
"86"	19124	"DALLAS-PLANO-IRVING, TX"	56313	65000
"87"	19140	"DALTON, GA"	43713	51300
"88"	19180	"DANVILLE, IL"	41578	49400
"89"	19260	"DANVILLE, VA"	39088	46800
"90"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	49922	58800
"91"	19380	"DAYTON, OH"	51271	59800
"92"	19460	"DECATUR, AL"	43961	53100
"93"	19500	"DECATUR, IL"	47475	57600
"94"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	41785	52300
"95"	19740	"DENVER-AURORA, CO"	61301	71800
"96"	19780	"DES MOINES-WEST DES MOINES, IA"	55620	67900
"97"	19804	"DETROIT-LIVONIA-DEARBORN, MI"	48792	54400
"98"	20020	"DOTHAN, AL"	39732	48300
"99"	20100	"DOVER, DE"	46506	55300
"100"	20220	"DUBUQUE, IA"	48753	59200
"101"	20260	"DULUTH, MN-WI"	46619	58900
"102"	20500	"DURHAM, NC"	53076	62100
"103"	20740	"EAU CLAIRE, WI"	48942	59900
"104"	20764	"EDISON-NEW BRUNSWICK, NJ"	69978	90000
"105"	20940	"EL CENTRO, CA"	35221	45100
"106"	21060	"ELIZABETHTOWN, KY"	42911	52700
"107"	21140	"ELKHART-GOSHEN, IN"	50399	56900
"108"	21300	"ELMIRA, NY"	43879	52700
"109"	21340	"EL PASO, TX"	33472	37200
"110"	21500	"ERIE, PA"	44825	54100
"111"	21660	"EUGENE-SPRINGFIELD, OR"	45100	55500
"112"	21780	"EVANSVILLE, IN-KY"	48255	59800
"113"	21820	"FAIRBANKS, AK"	56433	71300
"114"	21940	"FAJARDO, PR"	17208	21900
"115"	22020	"FARGO, ND-MN"	50758	65600
"116"	22140	"FARMINGTON, NM"	37279	49800
"117"	22180	"FAYETTEVILLE, NC"	41000	49300
"118"	22220	"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO"	42578	52600
"119"	22380	"FLAGSTAFF, AZ"	45822	56700
"120"	22420	"FLINT, MI"	50097	55200
"121"	22500	"FLORENCE, SC"	40070	47700
"122"	22520	"FLORENCE-MUSCLE SHOALS, AL"	40608	52300
"123"	22540	"FOND DU LAC, WI"	53017	62500
"124"	22660	"FORT COLLINS-LOVELAND, CO"	58840	75000
"125"	22744	"FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL"	50570	64000
"126"	22900	"FORT SMITH, AR-OK"	37051	45700
"127"	23020	"FORT WALTON BEACH-CRESTVIEW-DESTIN, FL"	47518	63200
"128"	23060	"FORT WAYNE, IN"	52560	59100
"129"	23104	"FORT WORTH-ARLINGTON, TX"	53268	64500
"130"	23420	"FRESNO, CA"	38493	49900
"131"	23460	"GADSDEN, AL"	38643	44300
"132"	23540	"GAINESVILLE, FL"	45486	56600
"133"	23580	"GAINESVILLE, GA"	50101	57100
"134"	23844	"GARY, IN"	52518	61500
"135"	24020	"GLENS FALLS, NY"	45141	58600
"136"	24140	"GOLDSBORO, NC"	40490	48200
"137"	24220	"GRAND FORKS, ND-MN"	45777	60100
"138"	24300	"GRAND JUNCTION, CO"	43015	55000
"139"	24340	"GRAND RAPIDS-WYOMING, MI"	52945	59200
"140"	24500	"GREAT FALLS, MT"	39947	51900
"141"	24540	"GREELEY, CO"	49562	64000
"142"	24580	"GREEN BAY, WI"	53950	62900
"143"	24660	"GREENSBORO-HIGH POINT, NC"	48807	56100
"144"	24780	"GREENVILLE, NC"	42777	51600
"145"	24860	"GREENVILLE-MAULDIN-EASLEY, SC"	47387	55100
"146"	25020	"GUAYAMA, PR"	13836	18400
"147"	25060	"GULFPORT-BILOXI, MS"	41026	49000
"148"	25180	"HAGERSTOWN-MARTINSBURG, MD-WV"	46565	62600
"149"	25260	"HANFORD-CORCORAN, CA"	38025	50100
"150"	25420	"HARRISBURG-CARLISLE, PA"	52829	67500
"151"	25500	"HARRISONBURG, VA"	46106	56400
"152"	25540	"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT"	64156	81100
"153"	25620	"HATTIESBURG, MS"	38187	47200
"154"	25860	"HICKORY-LENOIR-MORGANTON, NC"	44452	50900
"155"	25980	"HINESVILLE-FORT STEWART, GA"	34678	44400
"156"	26100	"HOLLAND-GRAND HAVEN, MI"	59880	68700
"157"	26180	"HONOLULU, HI"	60110	77300
"158"	26300	"HOT SPRINGS, AR"	38002	45900
"159"	26380	"HOUMA-BAYOU CANE-THIBODAUX, LA"	40224	52300
"160"	26420	"HOUSTON-SUGAR LAND-BAYTOWN, TX"	51431	61100
"161"	26580	"HUNTINGTON-ASHLAND, WV-KY-OH"	37119	47000
"162"	26620	"HUNTSVILLE, AL"	52360	64500
"163"	26820	"IDAHO FALLS, ID"	46692	56900
"164"	26900	"INDIANAPOLIS-CARMEL, IN"	55425	65100
"165"	26980	"IOWA CITY, IA"	56018	67900
"166"	27060	"ITHACA, NY"	52980	71800
"167"	27100	"JACKSON, MI"	50961	57100
"168"	27140	"JACKSON, MS"	44383	54300
"169"	27180	"JACKSON, TN"	43954	51000
"170"	27260	"JACKSONVILLE, FL"	50048	63900
