"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	52886	52900
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIAN, PR"	16128	16600
"3"	10420	"AKRON, OH"	62882	66500
"4"	10500	"ALBANY, GA"	46021	49400
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	74739	78100
"6"	10740	"ALBUQUERQUE, NM"	59381	61900
"7"	10780	"ALEXANDRIA, LA"	50565	52400
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	68935	73300
"9"	11020	"ALTOONA, PA"	53166	55600
"10"	11100	"AMARILLO, TX"	57317	58900
"11"	11180	"AMES, IA"	74278	78500
"12"	11260	"ANCHORAGE, AK"	82861	85200
"13"	11300	"ANDERSON, IN"	53906	57800
"14"	11340	"ANDERSON, SC"	53229	56100
"15"	11460	"ANN ARBOR, MI"	82184	87400
"16"	11500	"ANNISTON-OXFORD, AL"	49532	52200
"17"	11540	"APPLETON, WI"	69972	73600
"18"	11700	"ASHEVILLE, NC"	55018	58400
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	57573	59400
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	67829	69300
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66920	72100
"22"	12220	"AUBURN-OPELIKA, AL"	59112	61400
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	54953	57900
"24"	12420	"AUSTIN-ROUND ROCK-SAN MARCOS, TX"	71602	75900
"25"	12540	"BAKERSFIELD-DELANO, CA"	51311	54100
"26"	12580	"BALTIMORE-TOWSON, MD"	81788	85600
"27"	12620	"BANGOR, ME"	54271	56300
"28"	12700	"BARNSTABLE TOWN, MA"	75056	80000
"29"	12940	"BATON ROUGE, LA"	60727	62900
"30"	12980	"BATTLE CREEK, MI"	52533	49500
"31"	13020	"BAY CITY, MI"	53824	58500
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	55189	57500
"33"	13380	"BELLINGHAM, WA"	64586	67800
"34"	13460	"BEND, OR"	61605	66400
"35"	13644	"BETHESDA-ROCKVILLE-FREDERICK, MD"	107887	113400
"36"	13740	"BILLINGS, MT"	61996	64600
"37"	13780	"BINGHAMTON, NY"	58258	61800
"38"	13820	"BIRMINGHAM-HOOVER, AL"	59532	62800
"39"	13900	"BISMARCK, ND"	68621	77700
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	57442	60500
"41"	14020	"BLOOMINGTON, IN"	57123	59900
"42"	14060	"BLOOMINGTON-NORMAL, IL"	77093	80200
"43"	14260	"BOISE CITY-NAMPA, ID"	59649	62900
"44"	14484	"BOSTON-QUINCY, MA"	83664	88800
"45"	14500	"BOULDER, CO"	87860	93800
"46"	14540	"BOWLING GREEN, KY"	54856	57400
"47"	14740	"BREMERTON-SILVERDALE, WA"	71065	75600
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	100593	106700
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	33770	34100
"50"	15260	"BRUNSWICK, GA"	57734	60200
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	62530	66100
"52"	15500	"BURLINGTON, NC"	52806	56100
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	72928	76700
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	97382	106400
"55"	15804	"CAMDEN, NJ"	83092	87200
"56"	15940	"CANTON-MASSILLON, OH"	55645	58900
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	58950	57000
"58"	16020	"CAPE GIRARDEAU-JACKSON, MO-IL"	51873	54600
"59"	16180	"CARSON CITY, NV"	65389	69300
"60"	16220	"CASPER, WY"	62859	67000
"61"	16300	"CEDAR RAPIDS, IA"	67971	71000
"62"	16580	"CHAMPAIGN-URBANA, IL"	65521	68000
