"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"102"	20260	"DULUTH, MN-WI"	59812	60900
"103"	20500	"DURHAM-CHAPEL HILL, NC"	65660	67700
"104"	20740	"EAU CLAIRE, WI"	62064	65300
"105"	20764	"EDISON-NEW BRUNSWICK, NJ"	91959	96600
"106"	20940	"EL CENTRO, CA"	43490	48000
"107"	21060	"ELIZABETHTOWN, KY"	55079	55500
"108"	21140	"ELKHART-GOSHEN, IN"	53742	51900
"109"	21300	"ELMIRA, NY"	55246	58600
"110"	21340	"EL PASO, TX"	40329	42000
"111"	21500	"ERIE, PA"	56144	60200
"112"	21660	"EUGENE-SPRINGFIELD, OR"	55817	55800
"113"	21780	"EVANSVILLE, IN-KY"	60518	60100
"114"	21820	"FAIRBANKS, AK"	79913	78400
"115"	21940	"FAJARDO, PR"	22407	23500
"116"	22020	"FARGO, ND-MN"	67695	73800
"117"	22140	"FARMINGTON, NM"	53540	55300
"118"	22180	"FAYETTEVILLE, NC"	50347	52000
"119"	22220	"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO"	54186	56700
"120"	22380	"FLAGSTAFF, AZ"	58841	56500
"121"	22420	"FLINT, MI"	54072	52100
"122"	22500	"FLORENCE, SC"	48118	47000
"123"	22520	"FLORENCE-MUSCLE SHOALS, AL"	51415	51000
"124"	22540	"FOND DU LAC, WI"	64173	65600
"125"	22660	"FORT COLLINS-LOVELAND, CO"	73771	75800
"126"	22744	"FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL"	62619	61700
"127"	22900	"FORT SMITH, AR-OK"	46201	47000
"128"	23060	"FORT WAYNE, IN"	60235	61900
"129"	23104	"FORT WORTH-ARLINGTON, TX"	65319	65500
"130"	23420	"FRESNO, CA"	52306	54600
"131"	23460	"GADSDEN, AL"	44706	42100
"132"	23540	"GAINESVILLE, FL"	59911	64000
"133"	23580	"GAINESVILLE, GA"	57774	56500
"134"	23844	"GARY, IN"	62512	62400
"135"	24020	"GLENS FALLS, NY"	60649	65100
"136"	24140	"GOLDSBORO, NC"	49504	54000
"137"	24220	"GRAND FORKS, ND-MN"	64258	67700
"138"	24300	"GRAND JUNCTION, CO"	63049	61300
