"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	51700
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	16300
"3"	10420	"AKRON, OH"	52418	64800
"4"	10500	"ALBANY, GA"	39558	48600
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	75500
"6"	10740	"ALBUQUERQUE, NM"	45738	60300
"7"	10780	"ALEXANDRIA, LA"	36276	50000
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	70000
"9"	11020	"ALTOONA, PA"	40157	53200
"10"	11100	"AMARILLO, TX"	43719	56900
"11"	11180	"AMES, IA"	54843	74000
"12"	11260	"ANCHORAGE, AK"	62173	83600
"13"	11300	"ANDERSON, IN"	46539	56500
"14"	11340	"ANDERSON, SC"	44322	54600
"15"	11460	"ANN ARBOR, MI"	69771	84200
"16"	11500	"ANNISTON-OXFORD, AL"	39895	50900
"17"	11540	"APPLETON, WI"	57592	71300
"18"	11700	"ASHEVILLE, NC"	43692	55400
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	57700
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	71800
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	51769	69200
"22"	12220	"AUBURN-OPELIKA, AL"	46810	61000
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	55600
"24"	12420	"AUSTIN-ROUND ROCK-SAN MARCOS, TX"	59438	73800
"25"	12540	"BAKERSFIELD-DELANO, CA"	39425	51900
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	82200
"27"	12620	"BANGOR, ME"	42416	54500
"28"	12700	"BARNSTABLE TOWN, MA"	54612	75300
"29"	12940	"BATON ROUGE, LA"	45622	60600
"30"	12980	"BATTLE CREEK, MI"	47068	55200
"31"	13020	"BAY CITY, MI"	47967	56200
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	55500
"33"	13380	"BELLINGHAM, WA"	49342	64400
"34"	13460	"BEND, OR"	48200	63200
"35"	13644	"BETHESDA-ROCKVILLE-FREDERICK, MD"	79252	109600
"36"	13740	"BILLINGS, MT"	44809	63000
"37"	13780	"BINGHAMTON, NY"	45725	60400
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	61700
"39"	13900	"BISMARCK, ND"	49944	68000
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	59900
"41"	14020	"BLOOMINGTON, IN"	46989	57800
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	76600
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	61900
"44"	14484	"BOSTON-QUINCY, MA"	62948	85200
"45"	14500	"BOULDER, CO"	69675	89600
"46"	14540	"BOWLING GREEN, KY"	43019	53800
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	71900
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	104300
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	33500
"50"	15260	"BRUNSWICK, GA"	42382	54700
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	63700
"52"	15500	"BURLINGTON, NC"	46620	53800
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	73800
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	98700
"55"	15804	"CAMDEN, NJ"	62032	83500
"56"	15940	"CANTON-MASSILLON, OH"	47165	57700
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	61600
"58"	16020	"CAPE GIRARDEAU-JACKSON, MO-IL"	42099	52400
"59"	16180	"CARSON CITY, NV"	49627	65000
"60"	16220	"CASPER, WY"	45455	65400
"61"	16300	"CEDAR RAPIDS, IA"	54241	68400
"62"	16580	"CHAMPAIGN-URBANA, IL"	51878	64900
"63"	16620	"CHARLESTON, WV"	40961	52600
"64"	16700	"CHARLESTON-NORTH CHARLESTON-SUMMERVILLE, SC"	46784	62100
"65"	16740	"CHARLOTTE-GASTONIA-ROCK HILL, NC-SC"	54850	67200
"66"	16820	"CHARLOTTESVILLE, VA"	54165	73800
"67"	16860	"CHATTANOOGA, TN-GA"	44787	55900
"68"	16940	"CHEYENNE, WY"	46452	67400
"69"	16974	"CHICAGO-JOLIET-NAPERVILLE, IL"	60166	74700
"70"	17020	"CHICO, CA"	40967	53800
"71"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	54771	69500
"72"	17300	"CLARKSVILLE, TN-KY"	40311	52500
"73"	17420	"CLEVELAND, TN"	40983	50400
"74"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	52660	64800
"75"	17660	"COEUR D'ALENE, ID"	43017	57000
"76"	17780	"COLLEGE STATION-BRYAN, TX"	43916	57000
"77"	17820	"COLORADO SPRINGS, CO"	54037	70600
"78"	17860	"COLUMBIA, MO"	50099	63700
"79"	17900	"COLUMBIA, SC"	49202	62400
"80"	17980	"COLUMBUS, GA-AL"	40916	51800
"81"	18020	"COLUMBUS, IN"	52072	64300
"82"	18140	"COLUMBUS, OH"	54708	68600
"83"	18580	"CORPUS CHRISTI, TX"	40551	51900
"84"	18700	"CORVALLIS, OR"	56736	71800
"85"	18880	"CRESTVIEW-FORT WALTON BEACH-DESTIN, FL"	47518	65500
"86"	19060	"CUMBERLAND, MD-WV"	39167	52200
"87"	19124	"DALLAS-PLANO-IRVING, TX"	56313	68900
"88"	19140	"DALTON, GA"	43713	52400
"89"	19180	"DANVILLE, IL"	41578	51800
"90"	19260	"DANVILLE, VA"	39088	50000
"91"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	49922	62700
"92"	19380	"DAYTON, OH"	51271	61700
"93"	19460	"DECATUR, AL"	43961	56100
"94"	19500	"DECATUR, IL"	47475	58900
"95"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	41785	56000
"96"	19740	"DENVER-AURORA-BROOMFIELD, CO"	61301	75900
"97"	19780	"DES MOINES-WEST DES MOINES, IA"	55620	73200
"98"	19804	"DETROIT-LIVONIA-DEARBORN, MI"	48792	55900
"99"	20020	"DOTHAN, AL"	39732	51400
"100"	20100	"DOVER, DE"	46506	59100
"101"	20220	"DUBUQUE, IA"	48753	62900
"102"	20260	"DULUTH, MN-WI"	46619	60000
"103"	20500	"DURHAM-CHAPEL HILL, NC"	53076	66500
