"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	52886	58000
"2"	10380	"AGUADILLA-ISABELA, PR"	16032	18200
"3"	10420	"AKRON, OH"	62882	66900
"4"	10500	"ALBANY, GA"	46021	41700
"5"	10540	"ALBANY, OR"	55320	53600
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	74739	82000
"7"	10740	"ALBUQUERQUE, NM"	59381	61600
"8"	10780	"ALEXANDRIA, LA"	50565	52400
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	68935	70900
"10"	11020	"ALTOONA, PA"	53166	57600
"11"	11100	"AMARILLO, TX"	57439	63200
"12"	11180	"AMES, IA"	74278	79500
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	83735	85000
"14"	11260	"ANCHORAGE, AK"	82861	91000
"15"	11460	"ANN ARBOR, MI"	82184	91600
"16"	11500	"ANNISTON-OXFORD-JACKSONVILLE, AL"	49532	46700
"17"	11540	"APPLETON, WI"	69972	73800
"18"	11640	"ARECIBO, PR"	18266	21600
"19"	11700	"ASHEVILLE, NC"	55018	56200
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57573	56100
"21"	12060	"ATLANTA-SANDY SPRINGS-ROSWELL, GA"	67374	67200
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66920	62200
"23"	12220	"AUBURN-OPELIKA, AL"	59112	60800
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	54820	58500
"25"	12420	"AUSTIN-ROUND ROCK, TX"	71602	77800
"26"	12540	"BAKERSFIELD, CA"	51311	53300
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	81788	86700
"28"	12620	"BANGOR, ME"	54271	56200
"29"	12700	"BARNSTABLE TOWN, MA"	75056	77100
"30"	12940	"BATON ROUGE, LA"	60727	64100
"31"	12980	"BATTLE CREEK, MI"	52533	55500
"32"	13020	"BAY CITY, MI"	53824	55300
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	54600	57900
"34"	13220	"BECKLEY, WV"	47012	46200
"35"	13380	"BELLINGHAM, WA"	64586	69900
