"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	50500
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	16100
"3"	10420	"AKRON, OH"	52418	65000
"4"	10500	"ALBANY, GA"	39558	49100
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	74100
"6"	10740	"ALBUQUERQUE, NM"	45738	59500
"7"	10780	"ALEXANDRIA, LA"	36276	48100
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	70000
"9"	11020	"ALTOONA, PA"	40157	53000
"10"	11100	"AMARILLO, TX"	43719	55300
"11"	11180	"AMES, IA"	54843	73300
"12"	11260	"ANCHORAGE, AK"	62173	80800
"13"	11300	"ANDERSON, IN"	46539	56700
"14"	11340	"ANDERSON, SC"	44322	53800
"15"	11460	"ANN ARBOR, MI"	69771	85200
"16"	11500	"ANNISTON-OXFORD, AL"	39895	51000
"17"	11540	"APPLETON, WI"	57592	72000
"18"	11700	"ASHEVILLE, NC"	43692	55700
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	56500
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	71700
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	51769	68400
"22"	12220	"AUBURN-OPELIKA, AL"	46810	59900
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	55500
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	73300
"25"	12540	"BAKERSFIELD, CA"	39425	52200
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	82100
"27"	12620	"BANGOR, ME"	42416	54800
"28"	12700	"BARNSTABLE TOWN, MA"	54612	75400
"29"	12940	"BATON ROUGE, LA"	45622	59800
"30"	12980	"BATTLE CREEK, MI"	47068	55700
"31"	13020	"BAY CITY, MI"	47967	56500
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	54300
"33"	13380	"BELLINGHAM, WA"	49342	64400
"34"	13460	"BEND, OR"	48200	63500
"35"	13644	"BETHESDA-FREDERICK-ROCKVILLE, MD"	79252	108800
"36"	13740	"BILLINGS, MT"	44809	60900
"37"	13780	"BINGHAMTON, NY"	45725	58600
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	60900
"39"	13900	"BISMARCK, ND"	49944	66800
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	59300
