"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"102"	19780	"DES MOINES-WEST DES MOINES, IA"	76385	82200
"103"	19804	"DETROIT-DEARBORN-LIVONIA, MI"	52733	53500
"104"	20020	"DOTHAN, AL"	51581	50700
"105"	20100	"DOVER, DE"	64252	65000
"106"	20220	"DUBUQUE, IA"	68157	66400
"107"	20260	"DULUTH, MN-WI"	64345	67200
"108"	20500	"DURHAM-CHAPEL HILL, NC"	69840	73300
"109"	20524	"DUTCHESS COUNTY-PUTNAM COUNTY, NY"	94443	97100
"110"	20700	"EAST STROUDSBURG, PA"	66783	74900
"111"	20740	"EAU CLAIRE, WI"	66688	67400
"112"	20940	"EL CENTRO, CA"	45815	49700
"113"	20994	"ELGIN, IL"	79687	84400
"114"	21060	"ELIZABETHTOWN-FORT KNOX, KY"	59273	62800
"115"	21140	"ELKHART-GOSHEN, IN"	55551	58200
"116"	21300	"ELMIRA, NY"	65135	64600
"117"	21340	"EL PASO, TX"	46033	45300
"118"	21420	"ENID, OK"	57419	56200
"119"	21500	"ERIE, PA"	58746	58100
"120"	21660	"EUGENE, OR"	57766	59000
"121"	21780	"EVANSVILLE, IN-KY"	61595	65500
"122"	21820	"FAIRBANKS, AK"	82310	84800
"123"	22020	"FARGO, ND-MN"	75010	75200
"124"	22140	"FARMINGTON, NM"	58777	58800
"125"	22180	"FAYETTEVILLE, NC"	51775	52300
"126"	22220	"FAYETTEVILLE-SPRINGDALE-ROGERS, AR-MO"	60032	66100
"127"	22380	"FLAGSTAFF, AZ"	61083	62800
"128"	22420	"FLINT, MI"	53333	53700
"129"	22500	"FLORENCE, SC"	50944	57800
"130"	22520	"FLORENCE-MUSCLE SHOALS, AL"	54339	53500
"131"	22540	"FOND DU LAC, WI"	67472	65300
"132"	22660	"FORT COLLINS, CO"	76886	76800
"133"	22744	"FORT LAUDERDALE-POMPANO BEACH-DEERFIELD BEACH, FL"	61809	64100
"134"	22900	"FORT SMITH, AR-OK"	48075	49800
"135"	23060	"FORT WAYNE, IN"	60884	63700
"136"	23104	"FORT WORTH-ARLINGTON, TX"	69817	70900
"137"	23420	"FRESNO, CA"	49999	50000
"138"	23460	"GADSDEN, AL"	51104	54700
"139"	23540	"GAINESVILLE, FL"	63628	65200
"140"	23580	"GAINESVILLE, GA"	58558	61700
"141"	23844	"GARY, IN"	64075	64500
"142"	23900	"GETTYSBURG, PA"	70344	73900
"143"	24020	"GLENS FALLS, NY"	64495	64100
"144"	24140	"GOLDSBORO, NC"	50552	45000
"145"	24220	"GRAND FORKS, ND-MN"	70827	66500
"146"	24260	"GRAND ISLAND, NE"	58820	58500
"147"	24300	"GRAND JUNCTION, CO"	60676	66300
"148"	24340	"GRAND RAPIDS-WYOMING, MI"	65342	66300
"149"	24420	"GRANTS PASS, OR"	46452	46500
"150"	24500	"GREAT FALLS, MT"	58102	57600
"151"	24540	"GREELEY, CO"	70457	75700
"152"	24580	"GREEN BAY, WI"	67666	69900
"153"	24660	"GREENSBORO-HIGH POINT, NC"	55218	57200
"154"	24780	"GREENVILLE, NC"	56239	54200
"155"	24860	"GREENVILLE-ANDERSON-MAULDIN, SC"	58097	53100
"156"	25020	"GUAYAMA, PR"	17448	18000
"157"	25060	"GULFPORT-BILOXI-PASCAGOULA, MS"	52846	51900
"158"	25180	"HAGERSTOWN-MARTINSBURG, MD-WV"	65716	71400
"159"	25220	"HAMMOND, LA"	52864	56600
"160"	25260	"HANFORD-CORCORAN, CA"	49735	50200
"161"	25420	"HARRISBURG-CARLISLE, PA"	71723	74700
"162"	25500	"HARRISONBURG, VA"	60539	64700
"163"	25540	"HARTFORD-WEST HARTFORD-EAST HARTFORD, CT"	88016	89700
"164"	25620	"HATTIESBURG, MS"	53263	51600
"165"	25860	"HICKORY-LENOIR-MORGANTON, NC"	51281	52000
"166"	25940	"HILTON HEAD ISLAND-BLUFFTON-BEAUFORT, SC"	63345	70300
"167"	25980	"HINESVILLE, GA"	47693	46600
"168"	26140	"HOMOSASSA SPRINGS, FL"	47829	45000
"169"	26300	"HOT SPRINGS, AR"	49707	54400
"170"	26380	"HOUMA-THIBODAUX, LA"	58164	55900
"171"	26420	"HOUSTON-THE WOODLANDS-SUGAR LAND, TX"	69373	71500
"172"	26580	"HUNTINGTON-ASHLAND, WV-KY-OH"	55040	52400
"173"	26620	"HUNTSVILLE, AL"	72576	78200
"174"	26820	"IDAHO FALLS, ID"	57604	59600
"175"	26900	"INDIANAPOLIS-CARMEL-ANDERSON, IN"	66803	58600
"176"	26980	"IOWA CITY, IA"	81027	86800
"177"	27060	"ITHACA, NY"	74524	75600
"178"	27100	"JACKSON, MI"	58432	60700
"179"	27140	"JACKSON, MS"	56700	63200
"180"	27180	"JACKSON, TN"	53433	53400
"181"	27260	"JACKSONVILLE, FL"	64042	64400
"182"	27340	"JACKSONVILLE, NC"	51012	55500
"183"	27500	"JANESVILLE-BELOIT, WI"	60820	63200
"184"	27620	"JEFFERSON CITY, MO"	62292	64200
"185"	27740	"JOHNSON CITY, TN"	50296	51800
"186"	27780	"JOHNSTOWN, PA"	55933	60300
"187"	27860	"JONESBORO, AR"	49928	51100
"188"	27900	"JOPLIN, MO"	51752	53800
"189"	27980	"KAHULUI-WAILUKU-LAHAINA, HI"	76193	101200
"190"	28020	"KALAMAZOO-PORTAGE, MI"	61149	61800
"191"	28100	"KANKAKEE, IL"	63716	74300
"192"	28140	"KANSAS CITY, MO-KS"	72623	74800
"193"	28420	"KENNEWICK-RICHLAND, WA"	66500	65100
"194"	28660	"KILLEEN-TEMPLE, TX"	58001	59000
"195"	28700	"KINGSPORT-BRISTOL-BRISTOL, TN-VA"	51210	54500
"196"	28740	"KINGSTON, NY"	74546	78500
"197"	28940	"KNOXVILLE, TN"	59210	63900
"198"	29020	"KOKOMO, IN"	59111	62500
"199"	29100	"LA CROSSE-ONALASKA, WI-MN"	68531	72000
"200"	29180	"LAFAYETTE, LA"	59988	65500
"201"	29200	"LAFAYETTE-WEST LAFAYETTE, IN"	62506	62500
"202"	29340	"LAKE CHARLES, LA"	57618	58500
"203"	29404	"LAKE COUNTY-KENOSHA COUNTY, IL-WI"	87137	91600
"204"	29420	"LAKE HAVASU CITY-KINGMAN, AZ"	46268	46000
"205"	29460	"LAKELAND-WINTER HAVEN, FL"	50986	52500
"206"	29540	"LANCASTER, PA"	68937	71100
"207"	29620	"LANSING-EAST LANSING, MI"	66143	68300
"208"	29700	"LAREDO, TX"	41922	42800
"209"	29740	"LAS CRUCES, NM"	45044	46900
"210"	29820	"LAS VEGAS-HENDERSON-PARADISE, NV"	59993	61900
"211"	29940	"LAWRENCE, KS"	72755	68500
"212"	30020	"LAWTON, OK"	57051	58700
"213"	30140	"LEBANON, PA"	65676	65300
"214"	30300	"LEWISTON, ID-WA"	58484	54200
"215"	30340	"LEWISTON-AUBURN, ME"	60363	65100
"216"	30460	"LEXINGTON-FAYETTE, KY"	66800	66600
"217"	30620	"LIMA, OH"	56195	56400
"218"	30700	"LINCOLN, NE"	70200	72000
"219"	30780	"LITTLE ROCK-NORTH LITTLE ROCK-CONWAY, AR"	61339	62500
"220"	30860	"LOGAN, UT-ID"	59129	60200
"221"	30980	"LONGVIEW, TX"	56689	61400
"222"	31020	"LONGVIEW, WA"	57938	52100
"223"	31084	"LOS ANGELES-LONG BEACH-GLENDALE, CA"	62703	64300
"224"	31140	"LOUISVILLE/JEFFERSON COUNTY, KY-IN"	64777	66400
"225"	31180	"LUBBOCK, TX"	57914	58500
"226"	31340	"LYNCHBURG, VA"	60256	62300
"227"	31420	"MACON-BIBB COUNTY, GA"	51727	49600
"228"	31460	"MADERA, CA"	49272	51300
"229"	31540	"MADISON, WI"	81321	85200
"230"	31700	"MANCHESTER-NASHUA, NH"	85966	78400
"231"	31740	"MANHATTAN, KS"	67332	70300
"232"	31860	"MANKATO-NORTH MANKATO, MN"	71814	78000
"233"	31900	"MANSFIELD, OH"	54044	55400
"234"	32420	"MAYAGÜEZ, PR"	21434	23600
"235"	32580	"MCALLEN-EDINBURG-MISSION, TX"	37529	40300
"236"	32780	"MEDFORD, OR"	53441	53600
"237"	32820	"MEMPHIS, TN-MS-AR"	58186	60000
"238"	32900	"MERCED, CA"	46793	48500
"239"	33124	"MIAMI-MIAMI BEACH-KENDALL, FL"	49264	51800
"240"	33140	"MICHIGAN CITY-LA PORTE, IN"	58424	57200
"241"	33220	"MIDLAND, MI"	67138	65900
"242"	33260	"MIDLAND, TX"	82297	91600
"243"	33340	"MILWAUKEE-WAUKESHA-WEST ALLIS, WI"	71764	72400
"244"	33460	"MINNEAPOLIS-ST. PAUL-BLOOMINGTON, MN-WI"	85636	90400
"245"	33540	"MISSOULA, MT"	65463	71200
"246"	33660	"MOBILE, AL"	54215	55100
"247"	33700	"MODESTO, CA"	55611	57500
"248"	33740	"MONROE, LA"	50145	52600
"249"	33780	"MONROE, MI"	67811	71600
"250"	33860	"MONTGOMERY, AL"	59161	59700
"251"	33874	"MONTGOMERY COUNTY-BUCKS COUNTY-CHESTER COUNTY, PA"	99939	102600
"252"	34060	"MORGANTOWN, WV"	63745	64100
"253"	34100	"MORRISTOWN, TN"	49373	49200
"254"	34580	"MOUNT VERNON-ANACORTES, WA"	65272	66300
"255"	34620	"MUNCIE, IN"	51935	52800
"256"	34740	"MUSKEGON, MI"	52263	53500
"257"	34820	"MYRTLE BEACH-CONWAY-NORTH MYRTLE BEACH, SC-NC"	53695	52100
"258"	34900	"NAPA, CA"	80921	91000
"259"	34940	"NAPLES-IMMOKALEE-MARCO ISLAND, FL"	66264	68300
"260"	34980	"NASHVILLE-DAVIDSON--MURFREESBORO--FRANKLIN, TN"	66404	68700
"261"	35004	"NASSAU COUNTY-SUFFOLK COUNTY, NY"	108193	110800
"262"	35084	"NEWARK, NJ-PA"	95579	99800
