"tract"	"poverty"	"unemployment"	"pop_loss"	"remote_rural"
"1"	1005950200	TRUE	FALSE	FALSE	FALSE
"2"	1005950300	TRUE	FALSE	FALSE	FALSE
"3"	1005950400	TRUE	FALSE	FALSE	FALSE
"4"	1005950500	TRUE	FALSE	FALSE	FALSE
"5"	1005950800	TRUE	FALSE	FALSE	FALSE
"6"	1005950900	TRUE	FALSE	FALSE	FALSE
"7"	1011952100	TRUE	FALSE	FALSE	FALSE
"8"	1011952200	TRUE	FALSE	FALSE	FALSE
"9"	1011952500	TRUE	FALSE	FALSE	FALSE
"10"	1013952700	TRUE	FALSE	FALSE	FALSE
"11"	1013952900	TRUE	FALSE	FALSE	FALSE
"12"	1013953000	TRUE	FALSE	FALSE	FALSE
"13"	1013953200	TRUE	FALSE	FALSE	FALSE
"14"	1013953300	TRUE	FALSE	FALSE	FALSE
"15"	1013953400	TRUE	FALSE	FALSE	FALSE
"16"	1013953500	TRUE	FALSE	FALSE	FALSE
"17"	1017953800	FALSE	FALSE	FALSE	FALSE
"18"	1017953900	FALSE	FALSE	FALSE	FALSE
"19"	1017954000	FALSE	FALSE	FALSE	FALSE
"20"	1017954200	FALSE	FALSE	FALSE	FALSE
"21"	1017954500	FALSE	FALSE	FALSE	FALSE
"22"	1017954600	FALSE	FALSE	FALSE	FALSE
"23"	1017954700	FALSE	FALSE	FALSE	FALSE
"24"	1023956800	TRUE	FALSE	TRUE	TRUE
"25"	1023956900	TRUE	FALSE	TRUE	TRUE
"26"	1025957500	TRUE	TRUE	FALSE	TRUE
"27"	1025957601	TRUE	TRUE	FALSE	TRUE
"28"	1025957602	TRUE	TRUE	FALSE	TRUE
"29"	1025957700	TRUE	TRUE	FALSE	TRUE
"30"	1025957800	TRUE	TRUE	FALSE	TRUE
"31"	1025957901	TRUE	TRUE	FALSE	TRUE
"32"	1025957902	TRUE	TRUE	FALSE	TRUE
"33"	1025958002	TRUE	TRUE	FALSE	TRUE
"34"	1027959000	FALSE	FALSE	FALSE	TRUE
"35"	1027959100	FALSE	FALSE	FALSE	TRUE
"36"	1027959200	FALSE	FALSE	FALSE	TRUE
"37"	1035960200	TRUE	FALSE	FALSE	TRUE
"38"	1037961000	FALSE	FALSE	FALSE	FALSE
"39"	1037961100	FALSE	FALSE	FALSE	FALSE
"40"	1037961200	FALSE	FALSE	FALSE	FALSE
"41"	1039961700	FALSE	FALSE	FALSE	FALSE
"42"	1039961800	FALSE	FALSE	FALSE	FALSE
"43"	1039961900	FALSE	FALSE	FALSE	FALSE
"44"	1039962000	FALSE	FALSE	FALSE	FALSE
"45"	1039962300	FALSE	FALSE	FALSE	FALSE
"46"	1039962800	FALSE	FALSE	FALSE	FALSE
"47"	1039962900	FALSE	FALSE	FALSE	FALSE
"48"	1041963400	TRUE	FALSE	FALSE	FALSE
"49"	1041963600	TRUE	FALSE	FALSE	FALSE
"50"	1041963700	TRUE	FALSE	FALSE	FALSE
"51"	1041963800	TRUE	FALSE	FALSE	FALSE
"52"	1041963900	TRUE	FALSE	FALSE	FALSE
"53"	1045020100	TRUE	FALSE	FALSE	FALSE
"54"	1045020500	TRUE	FALSE	FALSE	FALSE
"55"	1045020700	TRUE	FALSE	FALSE	FALSE
