"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	56448	62900
"2"	10380	"AGUADILLA-ISABELA, PR"	18267	19800
"3"	10420	"AKRON, OH"	65716	72300
"4"	10500	"ALBANY, GA"	44297	49800
"5"	10540	"ALBANY-LEBANON, OR"	54713	68600
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	81103	89900
"7"	10740	"ALBUQUERQUE, NM"	60032	65700
"8"	10780	"ALEXANDRIA, LA"	50720	57600
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	71539	80200
"10"	11020	"ALTOONA, PA"	57819	63000
"11"	11100	"AMARILLO, TX"	61673	71500
"12"	11180	"AMES, IA"	74380	80300
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	86003	97900
"14"	11260	"ANCHORAGE, AK"	89267	101900
"15"	11460	"ANN ARBOR, MI"	87331	101200
"16"	11500	"ANNISTON-OXFORD, AL"	52300	56200
"17"	11540	"APPLETON, WI"	73709	83800
"18"	11640	"ARECIBO, PR"	20181	24100
"19"	11700	"ASHEVILLE, NC"	57243	65700
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57116	66700
"21"	12060	"ATLANTA-SANDY SPRINGS-ALPHARETTA, GA"	67322	79200
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66523	76900
"23"	12220	"AUBURN-OPELIKA, AL"	61141	71100
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	58059	63100
"25"	12420	"AUSTIN-ROUND ROCK-GEORGETOWN, TX"	78997	95900
"26"	12540	"BAKERSFIELD, CA"	52649	57900
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	87788	101000
"28"	12620	"BANGOR, ME"	56891	66600
"29"	12700	"BARNSTABLE TOWN, MA"	80751	91300
"30"	12940	"BATON ROUGE, LA"	65593	70500
"31"	12980	"BATTLE CREEK, MI"	53315	64200
"32"	13020	"BAY CITY, MI"	57819	59200
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	57254	63300
"34"	13220	"BECKLEY, WV"	47856	61800
"35"	13380	"BELLINGHAM, WA"	68376	79100
"36"	13460	"BEND, OR"	62013	78600
"37"	13740	"BILLINGS, MT"	66565	73700
"38"	13780	"BINGHAMTON, NY"	63860	70500
"39"	13820	"BIRMINGHAM-HOOVER, AL"	63259	69000
"40"	13900	"BISMARCK, ND"	80768	88900
"41"	13980	"BLACKSBURG-CHRISTIANSBURG, VA"	60971	65700
"42"	14010	"BLOOMINGTON, IL"	83034	88300
"43"	14020	"BLOOMINGTON, IN"	61426	71500
"44"	14100	"BLOOMSBURG-BERWICK, PA"	59531	66600
"45"	14260	"BOISE CITY, ID"	61722	71700
"46"	14454	"BOSTON, MA"	90699	105500
"47"	14500	"BOULDER, CO"	96926	113600
"48"	14540	"BOWLING GREEN, KY"	55109	55700
"49"	14740	"BREMERTON-SILVERDALE-PORT ORCHARD, WA"	75652	85500
"50"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	105628	119000
"51"	15180	"BROWNSVILLE-HARLINGEN, TX"	36941	44000
"52"	15260	"BRUNSWICK, GA"	52987	58000
"53"	15380	"BUFFALO-CHEEKTOWAGA, NY"	67108	76900
"54"	15500	"BURLINGTON, NC"	53234	61600
"55"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	82811	91600
"56"	15680	"CALIFORNIA-LEXINGTON PARK, MD"	98260	101700
"57"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	100380	115500
"58"	15804	"CAMDEN, NJ"	87133	97300
"59"	15940	"CANTON-MASSILLON, OH"	59302	66100
"60"	15980	"CAPE CORAL-FORT MYERS, FL"	57627	67100
"61"	16020	"CAPE GIRARDEAU, MO-IL"	56012	63600
"62"	16060	"CARBONDALE-MARION, IL"	55883	61700
"63"	16180	"CARSON CITY, NV"	58947	69600
"64"	16220	"CASPER, WY"	71406	75800
"65"	16300	"CEDAR RAPIDS, IA"	75812	88000
"66"	16540	"CHAMBERSBURG-WAYNESBORO, PA"	64527	76400
"67"	16580	"CHAMPAIGN-URBANA, IL"	70634	77800
"68"	16620	"CHARLESTON, WV"	54658	59300
"69"	16700	"CHARLESTON-NORTH CHARLESTON, SC"	65558	77900
"70"	16740	"CHARLOTTE-CONCORD-GASTONIA, NC-SC"	64187	70700
"71"	16820	"CHARLOTTESVILLE, VA"	78548	84800
"72"	16860	"CHATTANOOGA, TN-GA"	58694	70100
"73"	16940	"CHEYENNE, WY"	75732	76700
"74"	16984	"CHICAGO-NAPERVILLE-EVANSTON, IL"	75024	82000
"75"	17020	"CHICO, CA"	56914	66500
"76"	17140	"CINCINNATI, OH-KY-IN"	69949	76700
"77"	17300	"CLARKSVILLE, TN-KY"	53979	58900
"78"	17420	"CLEVELAND, TN"	52007	57700
"79"	17460	"CLEVELAND-ELYRIA, OH"	65821	73700
"80"	17660	"COEUR D'ALENE, ID"	58966	64600
"81"	17780	"COLLEGE STATION-BRYAN, TX"	60756	68500
"82"	17820	"COLORADO SPRINGS, CO"	71351	80800
"83"	17860	"COLUMBIA, MO"	69408	74500
"84"	17900	"COLUMBIA, SC"	62665	67800
"85"	17980	"COLUMBUS, GA-AL"	52902	57400
"86"	18020	"COLUMBUS, IN"	66425	72200
"87"	18140	"COLUMBUS, OH"	70454	77900
"88"	18580	"CORPUS CHRISTI, TX"	58364	67100
"89"	18700	"CORVALLIS, OR"	76967	83700
"90"	18880	"CRESTVIEW-FORT WALTON BEACH-DESTIN, FL"	63539	75600
"91"	19060	"CUMBERLAND, MD-WV"	53566	59300
"92"	19124	"DALLAS-PLANO-IRVING, TX"	71149	83100
"93"	19140	"DALTON, GA"	47062	51600
"94"	19180	"DANVILLE, IL"	53880	59300
"95"	19300	"DAPHNE-FAIRHOPE-FOLEY, AL"	62271	80500
"96"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	66600	72700
"97"	19430	"DAYTON-KETTERING, OH"	61957	70600
"98"	19460	"DECATUR, AL"	54654	62800
"99"	19500	"DECATUR, IL"	60745	66900
"100"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	52220	59500
"101"	19740	"DENVER-AURORA-LAKEWOOD, CO"	80820	92800
"102"	19780	"DES MOINES-WEST DES MOINES, IA"	75653	82000
"103"	19804	"DETROIT-DEARBORN-LIVONIA, MI"	52733	60100
"104"	20020	"DOTHAN, AL"	51581	57000
"105"	20100	"DOVER, DE"	64252	66000
"106"	20220	"DUBUQUE, IA"	68157	84100
"107"	20260	"DULUTH, MN-WI"	64033	69500
"108"	20500	"DURHAM-CHAPEL HILL, NC"	68020	75100
"109"	20700	"EAST STROUDSBURG, PA"	66783	78800
"110"	20740	"EAU CLAIRE, WI"	66688	73300
"111"	20940	"EL CENTRO, CA"	45815	60700
"112"	20994	"ELGIN, IL"	80899	92700
"113"	21060	"ELIZABETHTOWN-FORT KNOX, KY"	59273	68300
"114"	21140	"ELKHART-GOSHEN, IN"	55551	69100
"115"	21300	"ELMIRA, NY"	65135	74000
"116"	21340	"EL PASO, TX"	46033	50200
"117"	21420	"ENID, OK"	57419	63800
"118"	21500	"ERIE, PA"	58746	66800
"119"	21660	"EUGENE-SPRINGFIELD, OR"	57766	64900
"120"	21780	"EVANSVILLE, IN-KY"	61595	67200
"121"	21820	"FAIRBANKS, AK"	82310	92400
"122"	22020	"FARGO, ND-MN"	75010	84100
"123"	22140	"FARMINGTON, NM"	58777	67800
"124"	22180	"FAYETTEVILLE, NC"	52485	56500
"125"	22220	"FAYETTEVILLE-SPRINGDALE-ROGERS, AR"	60876	66400
"126"	22380	"FLAGSTAFF, AZ"	61083	76400
"127"	22420	"FLINT, MI"	53333	57300
"128"	22500	"FLORENCE, SC"	50944	59100
"129"	22520	"FLORENCE-MUSCLE SHOALS, AL"	54339	66200
"130"	22540	"FOND DU LAC, WI"	67472	75300
"131"	22660	"FORT COLLINS, CO"	76886	87200
"132"	22744	"FORT LAUDERDALE-POMPANO BEACH-SUNRISE, FL"	61809	68600
"133"	22900	"FORT SMITH, AR-OK"	48258	51800
"134"	23060	"FORT WAYNE, IN"	60681	65800
"135"	23104	"FORT WORTH-ARLINGTON-GRAPEVINE, TX"	69339	75300
"136"	23224	"FREDERICK-GAITHERSBURG-ROCKVILLE, MD"	112655	123600
"137"	23420	"FRESNO, CA"	49999	57300
"138"	23460	"GADSDEN, AL"	51104	57100
"139"	23540	"GAINESVILLE, FL"	60014	64000
"140"	23580	"GAINESVILLE, GA"	58558	66800
"141"	23844	"GARY, IN"	64075	72700
"142"	23900	"GETTYSBURG, PA"	70344	79400
"143"	24020	"GLENS FALLS, NY"	64495	69700
"144"	24140	"GOLDSBORO, NC"	50552	58500
"145"	24220	"GRAND FORKS, ND-MN"	70827	78500
"146"	24260	"GRAND ISLAND, NE"	57552	62900
"147"	24300	"GRAND JUNCTION, CO"	60676	69700
"148"	24340	"GRAND RAPIDS-KENTWOOD, MI"	64496	70500
"149"	24420	"GRANTS PASS, OR"	46452	48800
"150"	24500	"GREAT FALLS, MT"	58102	63300
"151"	24540	"GREELEY, CO"	70457	79200
"152"	24580	"GREEN BAY, WI"	67666	81300
"153"	24660	"GREENSBORO-HIGH POINT, NC"	55218	59900
"154"	24780	"GREENVILLE, NC"	56239	67300
"155"	24860	"GREENVILLE-ANDERSON, SC"	58097	67800
"156"	25020	"GUAYAMA, PR"	17448	24000
"157"	25060	"GULFPORT-BILOXI, MS"	52608	57500
"158"	25180	"HAGERSTOWN-MARTINSBURG, MD-WV"	64343	69900
"159"	25220	"HAMMOND, LA"	52864	66300
"160"	25260	"HANFORD-CORCORAN, CA"	49735	58100
"161"	25420	"HARRISBURG-CARLISLE, PA"	71723	81100
"162"	25500	"HARRISONBURG, VA"	60539	70700
"163"	25540	"HARTFORD-EAST HARTFORD-MIDDLETOWN, CT"	88016	98400
"164"	25620	"HATTIESBURG, MS"	52275	56400
"165"	25860	"HICKORY-LENOIR-MORGANTON, NC"	51281	55100
"166"	25940	"HILTON HEAD ISLAND-BLUFFTON, SC"	63345	78000
"167"	25980	"HINESVILLE, GA"	47693	52500
"168"	26140	"HOMOSASSA SPRINGS, FL"	47829	52700
"169"	26300	"HOT SPRINGS, AR"	49707	60000
"170"	26380	"HOUMA-THIBODAUX, LA"	58164	60800
"171"	26420	"HOUSTON-THE WOODLANDS-SUGAR LAND, TX"	69373	77100
"172"	26580	"HUNTINGTON-ASHLAND, WV-KY-OH"	54584	58800
