"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	52200
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	16300
"3"	10420	"AKRON, OH"	52418	65600
"4"	10500	"ALBANY, GA"	39558	48700
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	77000
"6"	10740	"ALBUQUERQUE, NM"	45738	61000
"7"	10780	"ALEXANDRIA, LA"	36276	51700
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	72300
"9"	11020	"ALTOONA, PA"	40157	54900
"10"	11100	"AMARILLO, TX"	43719	58100
"11"	11180	"AMES, IA"	54843	77400
"12"	11260	"ANCHORAGE, AK"	62173	84000
"13"	11300	"ANDERSON, IN"	46539	57000
"14"	11340	"ANDERSON, SC"	44322	55300
"15"	11460	"ANN ARBOR, MI"	69771	86300
"16"	11500	"ANNISTON-OXFORD, AL"	39895	51500
"17"	11540	"APPLETON, WI"	57592	72600
"18"	11700	"ASHEVILLE, NC"	43692	57600
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	58600
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	68300
"21"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	51769	71100
"22"	12220	"AUBURN-OPELIKA, AL"	46810	60600
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	57100
"24"	12420	"AUSTIN-ROUND ROCK-SAN MARCOS, TX"	59438	74900
"25"	12540	"BAKERSFIELD-DELANO, CA"	39425	53300
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	84500
"27"	12620	"BANGOR, ME"	42416	55500
"28"	12700	"BARNSTABLE TOWN, MA"	54612	79000
"29"	12940	"BATON ROUGE, LA"	45622	62100
"30"	12980	"BATTLE CREEK, MI"	47068	48800
"31"	13020	"BAY CITY, MI"	47967	57700
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	56700
"33"	13380	"BELLINGHAM, WA"	49342	66800
"34"	13460	"BEND, OR"	48200	65500
"35"	13644	"BETHESDA-ROCKVILLE-FREDERICK, MD"	79252	111900
"36"	13740	"BILLINGS, MT"	44809	63700
"37"	13780	"BINGHAMTON, NY"	45725	61000
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	62000
"39"	13900	"BISMARCK, ND"	49944	76700
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	59700
"41"	14020	"BLOOMINGTON, IN"	46989	59100
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	79100
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	62100
"44"	14484	"BOSTON-QUINCY, MA"	62948	87600
"45"	14500	"BOULDER, CO"	69675	92500
"46"	14540	"BOWLING GREEN, KY"	43019	56600
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	74500
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	105300
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	33700
"50"	15260	"BRUNSWICK, GA"	42382	59400
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	65300
"52"	15500	"BURLINGTON, NC"	46620	55400
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	75700
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	105000
"55"	15804	"CAMDEN, NJ"	62032	86000
"56"	15940	"CANTON-MASSILLON, OH"	47165	58100
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	56200
