"necta"	"nectad"	"cnecta"	"necta_name"	"nectad_name"	"cnecta_name"	"is_metro"	"fips_mcd"	"component_name"
"59"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301933490	"Holden town"
"60"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301934190	"Howland town"
"61"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301934365	"Hudson town"
"62"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301936325	"Kenduskeag town"
"63"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301937760	"Lagrange town"
"64"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301938705	"Levant town"
"65"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301941435	"Lowell town"
"66"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301944340	"Maxfield town"
"67"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301945670	"Milford town"
"68"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301948505	"Newburgh town"
"69"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301949065	"Newport town"
"70"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301955225	"Old Town city"
"71"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301955565	"Orono town"
"72"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301955680	"Orrington town"
"73"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301957045	"Passadumkeag town"
"74"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301957937	"Penobscot Indian Island Reservation"
"75"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301959950	"Plymouth town"
"76"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301974055	"Stetson town"
"77"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2301978780	"Veazie town"
"78"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2302726280	"Frankfort town"
"79"	70750	NA	NA	"Bangor, ME"	NA	NA	TRUE	2302786760	"Winterport town"
"80"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500103690	"Barnstable Town city"
"81"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500107175	"Bourne town"
"82"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500107980	"Brewster town"
"83"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500112995	"Chatham town"
"84"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500116775	"Dennis town"
"85"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500119295	"Eastham town"
"86"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500123105	"Falmouth town"
"87"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500129020	"Harwich town"
"88"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500139100	"Mashpee town"
"89"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500151440	"Orleans town"
"90"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500159735	"Sandwich town"
"91"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500170605	"Truro town"
"92"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500174385	"Wellfleet town"
"93"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2500182525	"Yarmouth town"
"94"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2502338540	"Marion town"
"95"	70900	NA	NA	"Barnstable Town, MA"	NA	NA	TRUE	2502372985	"Wareham town"
"96"	71050	NA	NA	"Barre, VT"	NA	NA	FALSE	5001753425	"Orange town"
