"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	39988	47500
"2"	10380	"AGUADILLA-ISABELA-SAN SEBASTIáN, PR"	12902	15400
"3"	10420	"AKRON, OH"	52418	61300
"4"	10500	"ALBANY, GA"	39558	46100
"5"	10580	"ALBANY-SCHENECTADY-TROY, NY"	54944	66200
"6"	10740	"ALBUQUERQUE, NM"	45738	53200
"7"	10780	"ALEXANDRIA, LA"	36276	44900
"8"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	53852	65900
"9"	11020	"ALTOONA, PA"	40157	48800
"10"	11100	"AMARILLO, TX"	43719	51800
"11"	11180	"AMES, IA"	54843	67000
"12"	11260	"ANCHORAGE, AK"	62173	76900
"13"	11300	"ANDERSON, IN"	46539	53900
"14"	11340	"ANDERSON, SC"	44322	52700
"15"	11460	"ANN ARBOR, MI"	69771	82400
"16"	11500	"ANNISTON-OXFORD, AL"	39895	49500
"17"	11540	"APPLETON, WI"	57592	67600
"18"	11700	"ASHEVILLE, NC"	43692	50400
"19"	12020	"ATHENS-CLARKE COUNTY, GA"	45221	52900
"20"	12060	"ATLANTA-SANDY SPRINGS-MARIETTA, GA"	58537	68100
"21"	12100	"ATLANTIC CITY, NJ"	51769	64400
"22"	12220	"AUBURN-OPELIKA, AL"	46810	57600
"23"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	44517	52200
"24"	12420	"AUSTIN-ROUND ROCK, TX"	59438	69600
"25"	12540	"BAKERSFIELD, CA"	39425	48100
"26"	12580	"BALTIMORE-TOWSON, MD"	59301	72800
"27"	12620	"BANGOR, ME"	42416	51700
"28"	12700	"BARNSTABLE TOWN, MA"	54612	66800
"29"	12940	"BATON ROUGE, LA"	45622	55800
"30"	12980	"BATTLE CREEK, MI"	47068	55200
"31"	13020	"BAY CITY, MI"	47967	55800
"32"	13140	"BEAUMONT-PORT ARTHUR, TX"	43014	50600
"33"	13380	"BELLINGHAM, WA"	49342	57500
"34"	13460	"BEND, OR"	48200	58800
"35"	13644	"BETHESDA-GAITHERSBURG-FREDERICK, MD"	79252	98400
"36"	13740	"BILLINGS, MT"	44809	53800
"37"	13780	"BINGHAMTON, NY"	45725	54100
"38"	13820	"BIRMINGHAM-HOOVER, AL"	46408	57400
"39"	13900	"BISMARCK, ND"	49944	65400
"40"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	45001	54900
"41"	14020	"BLOOMINGTON, IN"	46989	55000
"42"	14060	"BLOOMINGTON-NORMAL, IL"	61140	73500
"43"	14260	"BOISE CITY-NAMPA, ID"	48340	56100
"44"	14484	"BOSTON-QUINCY, MA"	62948	77700
"45"	14500	"BOULDER, CO"	69675	81600
"46"	14540	"BOWLING GREEN, KY"	43019	50900
"47"	14740	"BREMERTON-SILVERDALE, WA"	53655	63200
"48"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	77332	95900
"49"	15180	"BROWNSVILLE-HARLINGEN, TX"	28017	33000
"50"	15260	"BRUNSWICK, GA"	42382	49700
"51"	15380	"BUFFALO-NIAGARA FALLS, NY"	49149	58300
"52"	15500	"BURLINGTON, NC"	46620	53800
"53"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	55265	70500
"54"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	74121	90900
"55"	15804	"CAMDEN, NJ"	62032	77300
"56"	15940	"CANTON-MASSILLON, OH"	47165	54900
"57"	15980	"CAPE CORAL-FORT MYERS, FL"	46411	56000
"58"	16180	"CARSON CITY, NV"	49627	57300
"59"	16220	"CASPER, WY"	45455	58600
"60"	16300	"CEDAR RAPIDS, IA"	54241	65200
"61"	16580	"CHAMPAIGN-URBANA, IL"	51878	62600
"62"	16620	"CHARLESTON, WV"	40961	52500
"63"	16700	"CHARLESTON-NORTH CHARLESTON, SC"	46784	56400
"64"	16740	"CHARLOTTE-GASTONIA-CONCORD, NC-SC"	54850	64400
"65"	16820	"CHARLOTTESVILLE, VA"	54165	66500
"66"	16860	"CHATTANOOGA, TN-GA"	44787	52500
"67"	16940	"CHEYENNE, WY"	46452	59900
"68"	16974	"CHICAGO-NAPERVILLE-JOLIET, IL"	60166	72100
"69"	17020	"CHICO, CA"	40967	49700
"70"	17140	"CINCINNATI-MIDDLETOWN, OH-KY-IN"	54771	64600
"71"	17300	"CLARKSVILLE, TN-KY"	40311	47800
"72"	17420	"CLEVELAND, TN"	40983	48100
"73"	17460	"CLEVELAND-ELYRIA-MENTOR, OH"	52660	61400
"74"	17660	"COEUR D'ALENE, ID"	43017	50100
"75"	17780	"COLLEGE STATION-BRYAN, TX"	43916	52300
"76"	17820	"COLORADO SPRINGS, CO"	54037	63100
"77"	17860	"COLUMBIA, MO"	50099	62000
"78"	17900	"COLUMBIA, SC"	49202	58900
"79"	17980	"COLUMBUS, GA-AL"	40916	48000
"80"	18020	"COLUMBUS, IN"	52072	60700
"81"	18140	"COLUMBUS, OH"	54708	64400
"82"	18580	"CORPUS CHRISTI, TX"	40551	48200
