"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	56448	63900
"2"	10380	"AGUADILLA-ISABELA, PR"	18267	18900
"3"	10420	"AKRON, OH"	65716	73200
"4"	10500	"ALBANY, GA"	44715	53400
"5"	10540	"ALBANY, OR"	54713	59700
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	81103	86400
"7"	10740	"ALBUQUERQUE, NM"	60032	65000
"8"	10780	"ALEXANDRIA, LA"	50720	55400
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	71539	76100
"10"	11020	"ALTOONA, PA"	57819	65100
"11"	11100	"AMARILLO, TX"	61673	66800
"12"	11180	"AMES, IA"	77539	79800
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	86003	92700
"14"	11260	"ANCHORAGE, AK"	89267	97600
"15"	11460	"ANN ARBOR, MI"	87331	92900
"16"	11500	"ANNISTON-OXFORD-JACKSONVILLE, AL"	52300	56800
"17"	11540	"APPLETON, WI"	73709	77900
"18"	11640	"ARECIBO, PR"	20181	20100
"19"	11700	"ASHEVILLE, NC"	57243	62500
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57116	58900
"21"	12060	"ATLANTA-SANDY SPRINGS-ROSWELL, GA"	67322	74400
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66523	71600
"23"	12220	"AUBURN-OPELIKA, AL"	61141	66900
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	58059	62300
"25"	12420	"AUSTIN-ROUND ROCK, TX"	78997	86000
"26"	12540	"BAKERSFIELD, CA"	52649	58700
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	87788	94900
"28"	12620	"BANGOR, ME"	56891	62600
"29"	12700	"BARNSTABLE TOWN, MA"	80751	86200
"30"	12940	"BATON ROUGE, LA"	66344	74500
"31"	12980	"BATTLE CREEK, MI"	53315	54900
"32"	13020	"BAY CITY, MI"	57819	60400
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	56953	64100
"34"	13220	"BECKLEY, WV"	47856	48700
"35"	13380	"BELLINGHAM, WA"	68376	77500
"36"	13460	"BEND-REDMOND, OR"	62013	69600
"37"	13740	"BILLINGS, MT"	66980	71000
"38"	13780	"BINGHAMTON, NY"	63860	66900
"39"	13820	"BIRMINGHAM-HOOVER, AL"	62204	69400
"40"	13900	"BISMARCK, ND"	82181	95600
"41"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	60503	68800
"42"	14010	"BLOOMINGTON, IL"	81357	89000
"43"	14020	"BLOOMINGTON, IN"	61426	73900
"44"	14100	"BLOOMSBURG-BERWICK, PA"	59531	65400
"45"	14260	"BOISE CITY, ID"	61722	69600
"46"	14454	"BOSTON, MA"	90699	99300
"47"	14500	"BOULDER, CO"	96926	108600
"48"	14540	"BOWLING GREEN, KY"	55109	56800
"49"	14740	"BREMERTON-SILVERDALE, WA"	75652	82600
"50"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	105628	111200
"51"	15180	"BROWNSVILLE-HARLINGEN, TX"	36941	38900
"52"	15260	"BRUNSWICK, GA"	52987	53000
"53"	15380	"BUFFALO-CHEEKTOWAGA-NIAGARA FALLS, NY"	67108	74700
"54"	15500	"BURLINGTON, NC"	53234	55100
"55"	15540	"BURLINGTON-SOUTH BURLINGTON, VT"	82811	93000
"56"	15680	"CALIFORNIA-LEXINGTON PARK, MD"	98260	103400
"57"	15764	"CAMBRIDGE-NEWTON-FRAMINGHAM, MA"	100380	110300
"58"	15804	"CAMDEN, NJ"	87133	92400
"59"	15940	"CANTON-MASSILLON, OH"	59302	64900
"60"	15980	"CAPE CORAL-FORT MYERS, FL"	57627	63700
"61"	16020	"CAPE GIRARDEAU, MO-IL"	56012	64600
"62"	16060	"CARBONDALE-MARION, IL"	56287	61600
"63"	16180	"CARSON CITY, NV"	58947	62000
"64"	16220	"CASPER, WY"	71406	74400
"65"	16300	"CEDAR RAPIDS, IA"	75812	80800
"66"	16540	"CHAMBERSBURG-WAYNESBORO, PA"	64527	71300
"67"	16580	"CHAMPAIGN-URBANA, IL"	70462	79800
"68"	16620	"CHARLESTON, WV"	55786	56500
"69"	16700	"CHARLESTON-NORTH CHARLESTON, SC"	65558	74500
"70"	16740	"CHARLOTTE-CONCORD-GASTONIA, NC-SC"	64993	71300
"71"	16820	"CHARLOTTESVILLE, VA"	76610	86200
"72"	16860	"CHATTANOOGA, TN-GA"	58694	61700
"73"	16940	"CHEYENNE, WY"	75732	79900
"74"	16974	"CHICAGO-NAPERVILLE-ARLINGTON HEIGHTS, IL"	75350	82400
"75"	17020	"CHICO, CA"	56914	60500
"76"	17140	"CINCINNATI, OH-KY-IN"	70589	77000
"77"	17300	"CLARKSVILLE, TN-KY"	53918	55400
"78"	17420	"CLEVELAND, TN"	52007	59100
"79"	17460	"CLEVELAND-ELYRIA, OH"	65821	70700
"80"	17660	"COEUR D'ALENE, ID"	58966	62900
"81"	17780	"COLLEGE STATION-BRYAN, TX"	60756	73900
"82"	17820	"COLORADO SPRINGS, CO"	71351	77900
"83"	17860	"COLUMBIA, MO"	72667	76400
"84"	17900	"COLUMBIA, SC"	62665	68800
"85"	17980	"COLUMBUS, GA-AL"	53554	56000
"86"	18020	"COLUMBUS, IN"	66425	71100
"87"	18140	"COLUMBUS, OH"	70454	76000
"88"	18580	"CORPUS CHRISTI, TX"	57801	63600
"89"	18700	"CORVALLIS, OR"	76967	84100
"90"	18880	"CRESTVIEW-FORT WALTON BEACH-DESTIN, FL"	63539	64400
"91"	19060	"CUMBERLAND, MD-WV"	53566	55500
"92"	19124	"DALLAS-PLANO-IRVING, TX"	71149	77200
"93"	19140	"DALTON, GA"	47062	56600
"94"	19180	"DANVILLE, IL"	53880	58300
"95"	19300	"DAPHNE-FAIRHOPE-FOLEY, AL"	62271	69400
"96"	19340	"DAVENPORT-MOLINE-ROCK ISLAND, IA-IL"	66600	72300
"97"	19380	"DAYTON, OH"	61957	65700
"98"	19460	"DECATUR, AL"	54654	58700
"99"	19500	"DECATUR, IL"	60745	66700
"100"	19660	"DELTONA-DAYTONA BEACH-ORMOND BEACH, FL"	52220	55700
