"cbsa"	"md"	"csa"	"cbsa_name"	"md_name"	"csa_name"	"is_metro"	"fips"	"component_name"	"is_central"
"1"	10020	NA	318	"Abbeville, LA"	NA	"Lafayette-Acadiana, LA"	FALSE	22113	"Vermilion Parish"	NA
"2"	10100	NA	NA	"Aberdeen, SD"	NA	NA	FALSE	46013	"Brown County"	NA
"3"	10100	NA	NA	"Aberdeen, SD"	NA	NA	FALSE	46045	"Edmunds County"	NA
"4"	10140	NA	NA	"Aberdeen, WA"	NA	NA	FALSE	53027	"Grays Harbor County"	NA
"5"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48059	"Callahan County"	NA
"6"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48253	"Jones County"	NA
"7"	10180	NA	NA	"Abilene, TX"	NA	NA	TRUE	48441	"Taylor County"	NA
"8"	10220	NA	NA	"Ada, OK"	NA	NA	FALSE	40123	"Pontotoc County"	NA
"9"	10260	NA	NA	"Adjuntas, PR"	NA	NA	FALSE	72001	"Adjuntas Municipio"	NA
"10"	10300	NA	NA	"Adrian, MI"	NA	NA	FALSE	26091	"Lenawee County"	NA
"11"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72003	"Aguada Municipio"	NA
"12"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72005	"Aguadilla Municipio"	NA
"13"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72011	"Añasco Municipio"	NA
"14"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72071	"Isabela Municipio"	NA
"15"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72081	"Lares Municipio"	NA
"16"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72099	"Moca Municipio"	NA
"17"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72117	"Rincón Municipio"	NA
"18"	10380	NA	NA	"Aguadilla-Isabela-San Sebastián, PR"	NA	NA	TRUE	72131	"San Sebastián Municipio"	NA
"19"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Elyria, OH"	TRUE	39133	"Portage County"	NA
"20"	10420	NA	184	"Akron, OH"	NA	"Cleveland-Akron-Elyria, OH"	TRUE	39153	"Summit County"	NA
"21"	10460	NA	NA	"Alamogordo, NM"	NA	NA	FALSE	35035	"Otero County"	NA
"22"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13007	"Baker County"	NA
"23"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13095	"Dougherty County"	NA
"24"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13177	"Lee County"	NA
"25"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13273	"Terrell County"	NA
"26"	10500	NA	NA	"Albany, GA"	NA	NA	TRUE	13321	"Worth County"	NA
