"cbsa"	"cbsa_name"	"mfi"	"mfi_hud"
"1"	10180	"ABILENE, TX"	52886	57700
"2"	10380	"AGUADILLA-ISABELA, PR"	16032	18400
"3"	10420	"AKRON, OH"	62882	66700
"4"	10500	"ALBANY, GA"	46021	45900
"5"	10540	"ALBANY, OR"	55320	56200
"6"	10580	"ALBANY-SCHENECTADY-TROY, NY"	74739	82700
"7"	10740	"ALBUQUERQUE, NM"	59381	59400
"8"	10780	"ALEXANDRIA, LA"	50565	50800
"9"	10900	"ALLENTOWN-BETHLEHEM-EASTON, PA-NJ"	68935	71200
"10"	11020	"ALTOONA, PA"	53166	54800
"11"	11100	"AMARILLO, TX"	57439	62600
"12"	11180	"AMES, IA"	74278	76500
"13"	11244	"ANAHEIM-SANTA ANA-IRVINE, CA"	83735	85900
"14"	11260	"ANCHORAGE, AK"	82861	89600
"15"	11460	"ANN ARBOR, MI"	82184	84300
"16"	11500	"ANNISTON-OXFORD-JACKSONVILLE, AL"	49532	49400
"17"	11540	"APPLETON, WI"	69972	77100
"18"	11640	"ARECIBO, PR"	18266	20700
"19"	11700	"ASHEVILLE, NC"	55018	55900
"20"	12020	"ATHENS-CLARKE COUNTY, GA"	57573	56600
"21"	12060	"ATLANTA-SANDY SPRINGS-ROSWELL, GA"	67374	70700
"22"	12100	"ATLANTIC CITY-HAMMONTON, NJ"	66920	67300
"23"	12220	"AUBURN-OPELIKA, AL"	59112	67600
"24"	12260	"AUGUSTA-RICHMOND COUNTY, GA-SC"	54820	59300
"25"	12420	"AUSTIN-ROUND ROCK, TX"	71602	76800
"26"	12540	"BAKERSFIELD, CA"	51311	52000
"27"	12580	"BALTIMORE-COLUMBIA-TOWSON, MD"	81788	89600
"28"	12620	"BANGOR, ME"	54271	56000
"29"	12700	"BARNSTABLE TOWN, MA"	75056	80300
"30"	12940	"BATON ROUGE, LA"	60727	65500
"31"	12980	"BATTLE CREEK, MI"	52533	53400
"32"	13020	"BAY CITY, MI"	53824	59100
"33"	13140	"BEAUMONT-PORT ARTHUR, TX"	54600	59300
"34"	13220	"BECKLEY, WV"	47012	50100
"35"	13380	"BELLINGHAM, WA"	64586	67600
"36"	13460	"BEND-REDMOND, OR"	61605	59400
"37"	13740	"BILLINGS, MT"	61572	66800
"38"	13780	"BINGHAMTON, NY"	58258	66400
"39"	13820	"BIRMINGHAM-HOOVER, AL"	59532	62500
"40"	13900	"BISMARCK, ND"	67178	77000
"41"	13980	"BLACKSBURG-CHRISTIANSBURG-RADFORD, VA"	56273	60600
"42"	14010	"BLOOMINGTON, IL"	74930	83100
"43"	14020	"BLOOMINGTON, IN"	58386	61300
"44"	14100	"BLOOMSBURG-BERWICK, PA"	53664	60300
"45"	14260	"BOISE CITY, ID"	59649	61300
"46"	14454	"BOSTON, MA"	83664	90000
"47"	14500	"BOULDER, CO"	87860	99400
"48"	14540	"BOWLING GREEN, KY"	51720	57600
"49"	14740	"BREMERTON-SILVERDALE, WA"	71065	74600
"50"	14860	"BRIDGEPORT-STAMFORD-NORWALK, CT"	100593	107500
"51"	15180	"BROWNSVILLE-HARLINGEN, TX"	33770	35400
"52"	15260	"BRUNSWICK, GA"	57734	55300
