"tract"	"poverty"	"unemployment"	"pop_loss"	"remote_rural"
"1"	1005950100	FALSE	FALSE	FALSE	FALSE
"2"	1005950200	TRUE	TRUE	FALSE	FALSE
"3"	1005950300	TRUE	TRUE	FALSE	FALSE
"4"	1005950400	TRUE	TRUE	FALSE	FALSE
"5"	1005950500	TRUE	TRUE	FALSE	FALSE
"6"	1005950600	FALSE	FALSE	FALSE	FALSE
"7"	1005950800	TRUE	TRUE	FALSE	FALSE
"8"	1005950900	TRUE	TRUE	FALSE	FALSE
"9"	1011952100	TRUE	FALSE	FALSE	FALSE
"10"	1011952200	TRUE	FALSE	FALSE	FALSE
"11"	1011952500	TRUE	FALSE	FALSE	FALSE
"12"	1013952700	TRUE	FALSE	FALSE	FALSE
"13"	1013952900	TRUE	FALSE	FALSE	FALSE
"14"	1013953000	TRUE	FALSE	FALSE	FALSE
"15"	1013953200	TRUE	FALSE	FALSE	FALSE
"16"	1013953300	TRUE	FALSE	FALSE	FALSE
"17"	1013953400	TRUE	FALSE	FALSE	FALSE
"18"	1013953500	TRUE	FALSE	FALSE	FALSE
"19"	1017953800	TRUE	FALSE	FALSE	FALSE
"20"	1017953900	TRUE	FALSE	FALSE	FALSE
"21"	1017954000	TRUE	FALSE	FALSE	FALSE
"22"	1017954200	TRUE	FALSE	FALSE	FALSE
"23"	1017954300	FALSE	FALSE	FALSE	FALSE
"24"	1017954500	TRUE	FALSE	FALSE	FALSE
"25"	1017954600	TRUE	FALSE	FALSE	FALSE
"26"	1017954700	TRUE	FALSE	FALSE	FALSE
"27"	1023956800	TRUE	TRUE	TRUE	TRUE
"28"	1023956900	TRUE	TRUE	TRUE	TRUE
"29"	1023957000	FALSE	FALSE	FALSE	FALSE
"30"	1025957500	TRUE	TRUE	FALSE	TRUE
"31"	1025957601	TRUE	TRUE	FALSE	TRUE
"32"	1025957602	TRUE	TRUE	FALSE	TRUE
"33"	1025957700	TRUE	TRUE	FALSE	TRUE
"34"	1025957800	TRUE	TRUE	FALSE	TRUE
"35"	1025957901	TRUE	TRUE	FALSE	TRUE
"36"	1025957902	TRUE	TRUE	FALSE	TRUE
"37"	1025958002	TRUE	TRUE	FALSE	TRUE
"38"	1027958900	FALSE	FALSE	FALSE	FALSE
"39"	1027959000	FALSE	FALSE	FALSE	TRUE
"40"	1027959100	FALSE	FALSE	FALSE	TRUE
"41"	1027959200	FALSE	FALSE	FALSE	TRUE
"42"	1035960200	TRUE	TRUE	FALSE	TRUE
"43"	1035960300	FALSE	FALSE	FALSE	FALSE
"44"	1035960400	FALSE	FALSE	FALSE	FALSE
"45"	1035960600	FALSE	FALSE	FALSE	FALSE
"46"	1037961000	TRUE	FALSE	FALSE	FALSE
"47"	1037961100	TRUE	FALSE	FALSE	FALSE
"48"	1037961200	TRUE	FALSE	FALSE	FALSE
"49"	1039961700	TRUE	FALSE	FALSE	FALSE
"50"	1039961800	TRUE	FALSE	FALSE	FALSE
"51"	1039961900	TRUE	FALSE	FALSE	FALSE
"52"	1039962000	TRUE	FALSE	FALSE	FALSE
"53"	1039962300	TRUE	FALSE	FALSE	FALSE
"54"	1039962500	FALSE	FALSE	FALSE	FALSE
"55"	1039962600	FALSE	FALSE	FALSE	FALSE
"56"	1039962800	TRUE	FALSE	FALSE	FALSE
"57"	1039962900	TRUE	FALSE	FALSE	FALSE
"58"	1039963000	FALSE	FALSE	FALSE	FALSE
"59"	1041963400	FALSE	FALSE	FALSE	FALSE
"60"	1041963500	FALSE	FALSE	FALSE	FALSE
"61"	1041963600	FALSE	FALSE	FALSE	FALSE
"62"	1041963700	FALSE	FALSE	FALSE	FALSE
"63"	1041963800	FALSE	FALSE	FALSE	FALSE
"64"	1045020000	FALSE	FALSE	FALSE	FALSE
"65"	1045020300	FALSE	FALSE	FALSE	FALSE
"66"	1045020801	FALSE	FALSE	FALSE	FALSE
"67"	1045021101	FALSE	FALSE	FALSE	FALSE
"68"	1045021102	FALSE	FALSE	FALSE	FALSE
"69"	1045021200	FALSE	FALSE	FALSE	FALSE
"70"	1045021400	FALSE	FALSE	FALSE	FALSE
"71"	1047956100	TRUE	TRUE	FALSE	FALSE
"72"	1047956201	TRUE	TRUE	FALSE	FALSE
"73"	1047956300	FALSE	FALSE	FALSE	FALSE
"74"	1047956702	TRUE	TRUE	FALSE	FALSE
"75"	1047956800	TRUE	TRUE	FALSE	FALSE
"76"	1047957000	TRUE	TRUE	FALSE	FALSE
"77"	1047957100	TRUE	TRUE	FALSE	FALSE
"78"	1049960100	TRUE	FALSE	FALSE	FALSE
"79"	1049960200	TRUE	FALSE	FALSE	FALSE
"80"	1049960300	TRUE	FALSE	FALSE	FALSE
"81"	1049960400	FALSE	FALSE	FALSE	FALSE
"82"	1049960500	TRUE	FALSE	FALSE	FALSE
"83"	1049960600	TRUE	FALSE	FALSE	FALSE
"84"	1049960700	TRUE	FALSE	FALSE	FALSE
"85"	1049960800	TRUE	FALSE	FALSE	FALSE
"86"	1049960900	TRUE	FALSE	FALSE	FALSE
"87"	1049961000	TRUE	FALSE	FALSE	FALSE
"88"	1049961100	TRUE	FALSE	FALSE	FALSE
"89"	1049961300	TRUE	FALSE	FALSE	FALSE
"90"	1049961400	TRUE	FALSE	FALSE	FALSE
"91"	1053969800	TRUE	FALSE	FALSE	FALSE
"92"	1053969900	TRUE	FALSE	FALSE	FALSE
"93"	1053970300	TRUE	FALSE	FALSE	FALSE
"94"	1053970400	TRUE	FALSE	FALSE	FALSE
"95"	1053970500	TRUE	FALSE	FALSE	FALSE
"96"	1057020000	TRUE	FALSE	FALSE	FALSE
"97"	1057020100	TRUE	FALSE	FALSE	FALSE
"98"	1057020200	TRUE	FALSE	FALSE	FALSE
"99"	1057020300	FALSE	FALSE	FALSE	FALSE
"100"	1057020400	TRUE	FALSE	FALSE	FALSE
"101"	1059972900	TRUE	FALSE	FALSE	FALSE
"102"	1059973000	TRUE	FALSE	FALSE	FALSE
"103"	1059973100	FALSE	FALSE	FALSE	FALSE
"104"	1059973200	TRUE	FALSE	FALSE	FALSE
"105"	1059973300	TRUE	FALSE	FALSE	FALSE
"106"	1059973400	TRUE	FALSE	FALSE	FALSE
"107"	1059973500	TRUE	FALSE	FALSE	FALSE
"108"	1059973600	TRUE	FALSE	FALSE	FALSE
"109"	1059973700	TRUE	FALSE	FALSE	FALSE
"110"	1063060100	FALSE	FALSE	FALSE	FALSE
"111"	1071950100	FALSE	FALSE	FALSE	FALSE
"112"	1071950200	FALSE	FALSE	FALSE	FALSE
"113"	1071950300	FALSE	FALSE	FALSE	FALSE
"114"	1071950400	FALSE	FALSE	FALSE	FALSE
"115"	1071950500	FALSE	FALSE	FALSE	FALSE
"116"	1071950600	FALSE	FALSE	FALSE	FALSE
"117"	1071950700	FALSE	FALSE	FALSE	FALSE
"118"	1071950800	FALSE	FALSE	FALSE	FALSE
"119"	1071951000	FALSE	FALSE	FALSE	FALSE
"120"	1071951100	FALSE	FALSE	FALSE	FALSE
"121"	1075030000	TRUE	FALSE	FALSE	TRUE
"122"	1075030100	TRUE	FALSE	FALSE	TRUE
"123"	1075030200	TRUE	FALSE	FALSE	TRUE
"124"	1087231400	FALSE	FALSE	FALSE	FALSE
"125"	1087231500	TRUE	TRUE	TRUE	FALSE
"126"	1087231601	TRUE	TRUE	TRUE	FALSE
"127"	1087231602	TRUE	TRUE	TRUE	FALSE
"128"	1087231603	FALSE	FALSE	FALSE	FALSE
"129"	1087231800	TRUE	TRUE	TRUE	FALSE
"130"	1087232000	FALSE	FALSE	FALSE	FALSE
"131"	1087232100	FALSE	FALSE	FALSE	FALSE
"132"	1087232300	TRUE	TRUE	TRUE	FALSE
"133"	1091972900	FALSE	FALSE	FALSE	FALSE
"134"	1091973000	FALSE	FALSE	FALSE	FALSE
"135"	1091973100	TRUE	TRUE	FALSE	TRUE
"136"	1091973300	TRUE	TRUE	FALSE	TRUE
"137"	1093964000	FALSE	FALSE	FALSE	FALSE
"138"	1093964100	FALSE	FALSE	FALSE	FALSE
"139"	1093964200	FALSE	FALSE	FALSE	TRUE
"140"	1093964300	FALSE	FALSE	FALSE	TRUE
"141"	1093964400	FALSE	FALSE	FALSE	TRUE
"142"	1093964500	FALSE	FALSE	FALSE	TRUE
"143"	1093964600	FALSE	FALSE	FALSE	TRUE
"144"	1093964700	FALSE	FALSE	FALSE	FALSE
"145"	1095030100	TRUE	FALSE	FALSE	FALSE
"146"	1095030401	FALSE	FALSE	FALSE	FALSE
