"tract"	"poverty"	"unemployment"	"pop_loss"	"remote_rural"
"1"	1005950100	TRUE	FALSE	FALSE	FALSE
"2"	1005950300	TRUE	FALSE	FALSE	FALSE
"3"	1005950400	TRUE	FALSE	FALSE	FALSE
"4"	1005950500	TRUE	FALSE	FALSE	FALSE
"5"	1005950600	TRUE	FALSE	FALSE	FALSE
"6"	1005950700	FALSE	FALSE	FALSE	FALSE
"7"	1005950800	TRUE	FALSE	FALSE	FALSE
"8"	1005950900	TRUE	FALSE	FALSE	FALSE
"9"	1011952100	TRUE	TRUE	FALSE	FALSE
"10"	1011952200	TRUE	TRUE	FALSE	FALSE
"11"	1011952500	TRUE	TRUE	FALSE	FALSE
"12"	1013953000	FALSE	FALSE	FALSE	FALSE
"13"	1013953200	TRUE	FALSE	FALSE	FALSE
"14"	1013953300	TRUE	FALSE	FALSE	FALSE
"15"	1013953500	TRUE	FALSE	FALSE	FALSE
"16"	1017953800	TRUE	FALSE	FALSE	FALSE
"17"	1017953900	TRUE	FALSE	FALSE	FALSE
"18"	1017954000	TRUE	FALSE	FALSE	FALSE
"19"	1017954200	TRUE	FALSE	FALSE	FALSE
"20"	1017954300	TRUE	FALSE	FALSE	FALSE
"21"	1017954600	TRUE	FALSE	FALSE	FALSE
"22"	1017954700	TRUE	FALSE	FALSE	FALSE
"23"	1019955701	FALSE	FALSE	FALSE	FALSE
"24"	1019955702	FALSE	FALSE	FALSE	FALSE
"25"	1019955800	FALSE	FALSE	FALSE	FALSE
"26"	1019955900	FALSE	FALSE	FALSE	FALSE
"27"	1019956000	FALSE	FALSE	FALSE	FALSE
"28"	1019956100	FALSE	FALSE	FALSE	FALSE
"29"	1023956800	TRUE	FALSE	TRUE	TRUE
"30"	1023956900	TRUE	FALSE	TRUE	TRUE
"31"	1023957000	TRUE	FALSE	TRUE	TRUE
"32"	1025957601	TRUE	FALSE	FALSE	TRUE
"33"	1025957602	FALSE	FALSE	FALSE	FALSE
"34"	1025957800	TRUE	FALSE	FALSE	TRUE
"35"	1025957901	TRUE	FALSE	FALSE	TRUE
"36"	1025957902	TRUE	FALSE	FALSE	TRUE
"37"	1025958002	TRUE	FALSE	FALSE	TRUE
"38"	1027958900	FALSE	FALSE	FALSE	TRUE
"39"	1027959000	FALSE	FALSE	FALSE	TRUE
"40"	1027959100	FALSE	FALSE	FALSE	TRUE
"41"	1027959200	FALSE	FALSE	FALSE	TRUE
"42"	1035960200	TRUE	FALSE	FALSE	TRUE
"43"	1035960300	TRUE	FALSE	FALSE	TRUE
"44"	1035960400	TRUE	FALSE	FALSE	TRUE
"45"	1035960600	TRUE	FALSE	FALSE	TRUE
"46"	1037961000	TRUE	FALSE	FALSE	FALSE
"47"	1037961100	TRUE	FALSE	FALSE	FALSE
"48"	1037961200	FALSE	FALSE	FALSE	FALSE
"49"	1039961700	TRUE	FALSE	FALSE	FALSE
"50"	1039961800	TRUE	FALSE	FALSE	FALSE
"51"	1039962000	TRUE	FALSE	FALSE	FALSE
"52"	1039962400	FALSE	FALSE	FALSE	FALSE
"53"	1039962500	TRUE	FALSE	FALSE	FALSE
"54"	1039962600	TRUE	FALSE	FALSE	FALSE
"55"	1039962800	TRUE	FALSE	FALSE	FALSE
"56"	1039962900	TRUE	FALSE	FALSE	FALSE
"57"	1039963000	TRUE	FALSE	FALSE	FALSE
"58"	1041963400	TRUE	FALSE	FALSE	FALSE
"59"	1041963500	TRUE	FALSE	FALSE	FALSE
"60"	1041963600	TRUE	FALSE	FALSE	FALSE
"61"	1041963700	TRUE	FALSE	FALSE	FALSE
"62"	1041963800	TRUE	FALSE	FALSE	FALSE
"63"	1047956201	TRUE	TRUE	FALSE	FALSE
"64"	1047956202	FALSE	FALSE	FALSE	FALSE
"65"	1047956300	TRUE	TRUE	FALSE	FALSE
"66"	1047957100	TRUE	TRUE	FALSE	FALSE
"67"	1049960100	FALSE	FALSE	FALSE	FALSE
"68"	1049960200	FALSE	FALSE	FALSE	FALSE
"69"	1049960300	FALSE	FALSE	FALSE	FALSE
"70"	1049960400	FALSE	FALSE	FALSE	FALSE
"71"	1049960500	FALSE	FALSE	FALSE	FALSE
"72"	1049960600	FALSE	FALSE	FALSE	FALSE
"73"	1049960700	FALSE	FALSE	FALSE	FALSE
"74"	1049960900	FALSE	FALSE	FALSE	FALSE
"75"	1049961000	FALSE	FALSE	FALSE	FALSE
"76"	1049961100	FALSE	FALSE	FALSE	FALSE
"77"	1053969900	TRUE	FALSE	FALSE	FALSE
"78"	1053970100	FALSE	FALSE	FALSE	FALSE
"79"	1053970300	TRUE	FALSE	FALSE	FALSE
"80"	1053970400	TRUE	FALSE	FALSE	FALSE
"81"	1053970500	TRUE	FALSE	FALSE	FALSE
"82"	1057020100	FALSE	FALSE	FALSE	FALSE
"83"	1057020200	FALSE	FALSE	FALSE	FALSE
"84"	1057020300	FALSE	FALSE	FALSE	FALSE
"85"	1057020400	FALSE	FALSE	FALSE	FALSE
"86"	1063060100	TRUE	FALSE	TRUE	FALSE
"87"	1075030000	TRUE	FALSE	FALSE	TRUE
"88"	1075030100	TRUE	FALSE	FALSE	TRUE
"89"	1075030200	TRUE	FALSE	FALSE	TRUE
"90"	1087231400	TRUE	FALSE	TRUE	FALSE
"91"	1087231500	TRUE	FALSE	TRUE	FALSE
"92"	1087231601	TRUE	FALSE	TRUE	FALSE
"93"	1087231603	TRUE	FALSE	TRUE	FALSE
"94"	1087231800	TRUE	FALSE	TRUE	FALSE
"95"	1087232000	TRUE	FALSE	TRUE	FALSE
"96"	1087232100	TRUE	FALSE	TRUE	FALSE
"97"	1087232200	FALSE	FALSE	FALSE	FALSE
"98"	1091972900	TRUE	FALSE	FALSE	TRUE
"99"	1091973000	TRUE	FALSE	FALSE	TRUE
"100"	1091973100	TRUE	FALSE	FALSE	TRUE
"101"	1091973300	TRUE	FALSE	FALSE	TRUE
"102"	1093964000	TRUE	FALSE	FALSE	TRUE
"103"	1093964100	TRUE	FALSE	FALSE	TRUE
"104"	1093964200	TRUE	FALSE	FALSE	TRUE
"105"	1093964400	FALSE	FALSE	FALSE	FALSE
"106"	1093964500	TRUE	FALSE	FALSE	TRUE
"107"	1093964600	TRUE	FALSE	FALSE	TRUE
"108"	1093964700	TRUE	FALSE	FALSE	TRUE
"109"	1095030401	TRUE	FALSE	FALSE	FALSE
"110"	1095030701	TRUE	FALSE	FALSE	FALSE
"111"	1095030702	TRUE	FALSE	FALSE	FALSE
"112"	1095030903	TRUE	FALSE	FALSE	FALSE
"113"	1095030904	TRUE	FALSE	FALSE	FALSE
"114"	1095031000	TRUE	FALSE	FALSE	FALSE
"115"	1095031100	TRUE	FALSE	FALSE	FALSE
"116"	1095031200	TRUE	FALSE	FALSE	FALSE
"117"	1099075800	TRUE	TRUE	FALSE	TRUE
"118"	1099075900	FALSE	FALSE	FALSE	FALSE
"119"	1099076200	TRUE	TRUE	FALSE	TRUE
"120"	1107050000	FALSE	FALSE	FALSE	FALSE
"121"	1107050200	FALSE	FALSE	FALSE	FALSE
"122"	1107050300	FALSE	FALSE	FALSE	FALSE
"123"	1109188600	FALSE	FALSE	FALSE	FALSE
"124"	1109189000	TRUE	FALSE	FALSE	FALSE
"125"	1109189100	TRUE	FALSE	FALSE	FALSE
"126"	1109189200	TRUE	FALSE	FALSE	FALSE
"127"	1111000100	TRUE	FALSE	FALSE	FALSE
"128"	1111000200	TRUE	FALSE	FALSE	FALSE
"129"	1111000300	TRUE	FALSE	FALSE	FALSE
"130"	1111000400	TRUE	FALSE	FALSE	FALSE
"131"	1111000500	TRUE	FALSE	FALSE	FALSE
"132"	1119011300	TRUE	FALSE	FALSE	FALSE
"133"	1119011600	TRUE	FALSE	FALSE	FALSE
"134"	1121010102	TRUE	FALSE	FALSE	FALSE
"135"	1121010201	TRUE	FALSE	FALSE	FALSE
"136"	1121010202	TRUE	FALSE	FALSE	FALSE
"137"	1121010302	TRUE	FALSE	FALSE	FALSE
"138"	1121010400	TRUE	FALSE	FALSE	FALSE
